MicroMag 2900/3900 Data File (Series 0016.002)
Direct moment vs. field; Multiple segments
4.18x4.08
INSTRUMENT
Configuration                   AGM
Temperature control             None
Hardware version                0004
Software version                10/21/2009
Units of measure                cgs
Temperature in                  Kelvin

SAMPLE
Mass                            N/A
Volume                          N/A
Demagnetizing factor            N/A

SETTINGS
Field range                    +10.00000E+03
Field (command)                 N/A
Moment range                   +200.0000E-06
Averaging time                  N/A
Temperature (command)           N/A
Tmprtr difference correction    No
Orientation                     N/A
Gradient                        1
Probe factor                   +379.8931E-03
Probe Q                        +25.73322E+00
Probe resonance                +291.0372E+00
Operating frequency            +353.7500E+00
Sweep mode                      Automatic

MEASUREMENT
Description                    ""
Field (measured)                N/A
Temperature (measured)          N/A
Averages (completed)            1
Measured on                     08/30/2024  14:37
Elapsed time                   +155.2366E+00

PROCESSING
Background subtraction          No
Delta-m processing              N/A
Demagnetizing factor            No
Normalization                   No
Normalization factor            N/A
Offset (field)                  No
Offset (moment)                 No
Pole saturation                 No
Slope correction               +5.484672E-09

VIEWPORT
Left                           -10.00000E+03
Right                          +10.00000E+03
Bottom                         -200.0000E-06
Top                            +200.0000E-06
Show X-axis?                    Yes
Show Y-axis?                    Yes

CHARACTERIZATION
Initial slope                   N/A
Saturation                     +76.28809E-06
Remanence                      +15.23827E-06
Coercivity                     +170.4162E+00
S*                             -183.1120E-03

SCRIPT
Number of segments              2
Number of data                  1520

Segment   Averaging      Initial        Field         Final                    Final 
 Number      Time         Field       Increment       Field         Pause      Index 
             (s)           (Oe)          (Oe)          (Oe)          (s)     
0000001,+100.0000E-03,+10.00000E+03,+25.00000E+00,-10.00000E+03,+1.000000E+00,0000801
0000002,+100.0000E-03,-10.00000E+03,+25.00000E+00,+7.951719E+03,+1.000000E+00,0001520

                               Adjusted      Adjusted  
    Field         Moment        Field         Moment   
     (Oe)         (emu)          (Oe)         (emu)    
+9.992938E+03,+21.45737E-06,+9.992938E+03,+76.26536E-06
+9.971855E+03,+21.91629E-06,+9.971855E+03,+76.60865E-06
+9.948727E+03,+21.35925E-06,+9.948727E+03,+75.92476E-06
+9.925180E+03,+21.75883E-06,+9.925180E+03,+76.19519E-06
+9.901531E+03,+22.12900E-06,+9.901531E+03,+76.43565E-06
+9.877561E+03,+22.37194E-06,+9.877561E+03,+76.54712E-06
+9.853763E+03,+23.41152E-06,+9.853763E+03,+77.45618E-06
+9.829355E+03,+22.76625E-06,+9.829355E+03,+76.67704E-06
+9.805031E+03,+22.70475E-06,+9.805031E+03,+76.48213E-06
+9.780495E+03,+22.89935E-06,+9.780495E+03,+76.54215E-06
+9.756165E+03,+21.81620E-06,+9.756165E+03,+75.32557E-06
+9.731680E+03,+22.09692E-06,+9.731680E+03,+75.47199E-06
+9.707060E+03,+22.57107E-06,+9.707060E+03,+75.81111E-06
+9.682290E+03,+22.19109E-06,+9.682290E+03,+75.29528E-06
+9.657468E+03,+21.61505E-06,+9.657468E+03,+74.58308E-06
+9.632411E+03,+22.95460E-06,+9.632411E+03,+75.78522E-06
+9.607730E+03,+24.46717E-06,+9.607730E+03,+77.16242E-06
+9.583263E+03,+23.07284E-06,+9.583263E+03,+75.63389E-06
+9.558188E+03,+24.36041E-06,+9.558188E+03,+76.78394E-06
+9.533152E+03,+23.86190E-06,+9.533152E+03,+76.14811E-06
+9.508300E+03,+25.05500E-06,+9.508300E+03,+77.20490E-06
+9.483374E+03,+24.00569E-06,+9.483374E+03,+76.01889E-06
+9.458494E+03,+24.81254E-06,+9.458494E+03,+76.68928E-06
+9.433633E+03,+24.77336E-06,+9.433633E+03,+76.51374E-06
+9.408541E+03,+24.72642E-06,+9.408541E+03,+76.32918E-06
+9.383338E+03,+24.71157E-06,+9.383338E+03,+76.17610E-06
+9.358269E+03,+23.72497E-06,+9.358269E+03,+75.05200E-06
+9.333624E+03,+24.36606E-06,+9.333624E+03,+75.55792E-06
+9.308467E+03,+24.51430E-06,+9.308467E+03,+75.56819E-06
+9.283607E+03,+25.64252E-06,+9.283607E+03,+76.56006E-06
+9.258819E+03,+24.80485E-06,+9.258819E+03,+75.58644E-06
+9.233745E+03,+24.59333E-06,+9.233745E+03,+75.23739E-06
+9.208689E+03,+24.90378E-06,+9.208689E+03,+75.41043E-06
+9.183430E+03,+25.57044E-06,+9.183430E+03,+75.93854E-06
+9.158771E+03,+25.43438E-06,+9.158771E+03,+75.66723E-06
+9.133587E+03,+25.47419E-06,+9.133587E+03,+75.56891E-06
+9.108745E+03,+26.92812E-06,+9.108745E+03,+76.88660E-06
+9.083439E+03,+25.13581E-06,+9.083439E+03,+74.95549E-06
+9.058124E+03,+26.06153E-06,+9.058124E+03,+75.74236E-06
+9.033207E+03,+26.70026E-06,+9.033207E+03,+76.24443E-06
+9.008420E+03,+25.87498E-06,+9.008420E+03,+75.28321E-06
+8.983542E+03,+26.90201E-06,+8.983542E+03,+76.17380E-06
+8.958430E+03,+27.55230E-06,+8.958430E+03,+76.68634E-06
+8.933891E+03,+27.29097E-06,+8.933891E+03,+76.29043E-06
+8.908560E+03,+28.16103E-06,+8.908560E+03,+77.02156E-06
+8.883495E+03,+26.78255E-06,+8.883495E+03,+75.50561E-06
+8.858411E+03,+28.48010E-06,+8.858411E+03,+77.06558E-06
+8.833430E+03,+28.08111E-06,+8.833430E+03,+76.52958E-06
+8.808301E+03,+27.53418E-06,+8.808301E+03,+75.84482E-06
+8.783307E+03,+28.74117E-06,+8.783307E+03,+76.91472E-06
+8.758689E+03,+28.27600E-06,+8.758689E+03,+76.31454E-06
+8.733513E+03,+28.31982E-06,+8.733513E+03,+76.22028E-06
+8.708300E+03,+26.81790E-06,+8.708300E+03,+74.58007E-06
+8.683420E+03,+29.10409E-06,+8.683420E+03,+76.72980E-06
+8.658764E+03,+27.87642E-06,+8.658764E+03,+75.36690E-06
+8.633295E+03,+28.83056E-06,+8.633295E+03,+76.18135E-06
+8.608022E+03,+28.89602E-06,+8.608022E+03,+76.10820E-06
+8.583438E+03,+29.75669E-06,+8.583438E+03,+76.83404E-06
+8.558680E+03,+29.62061E-06,+8.558680E+03,+76.56216E-06
+8.533522E+03,+29.46524E-06,+8.533522E+03,+76.26881E-06
+8.508513E+03,+28.62983E-06,+8.508513E+03,+75.29623E-06
+8.483364E+03,+31.10812E-06,+8.483364E+03,+77.63659E-06
+8.458477E+03,+30.86035E-06,+8.458477E+03,+77.25232E-06
+8.433259E+03,+29.29116E-06,+8.433259E+03,+75.54481E-06
+8.408395E+03,+29.92525E-06,+8.408395E+03,+76.04254E-06
+8.383143E+03,+29.64735E-06,+8.383143E+03,+75.62614E-06
+8.358217E+03,+29.86095E-06,+8.358217E+03,+75.70303E-06
+8.333115E+03,+30.19606E-06,+8.333115E+03,+75.90047E-06
+8.308365E+03,+31.42927E-06,+8.308365E+03,+76.99792E-06
+8.283143E+03,+29.69518E-06,+8.283143E+03,+75.12550E-06
+8.258068E+03,+31.12357E-06,+8.258068E+03,+76.41636E-06
+8.233281E+03,+31.59682E-06,+8.233281E+03,+76.75367E-06
+8.208306E+03,+31.56951E-06,+8.208306E+03,+76.58937E-06
+8.183285E+03,+31.46068E-06,+8.183285E+03,+76.34331E-06
+8.158189E+03,+32.45897E-06,+8.158189E+03,+77.20396E-06
+8.133003E+03,+31.84875E-06,+8.133003E+03,+76.45560E-06
+8.108051E+03,+31.77655E-06,+8.108051E+03,+76.24655E-06
+8.083207E+03,+32.02522E-06,+8.083207E+03,+76.35896E-06
+8.058253E+03,+32.62534E-06,+8.058253E+03,+76.82221E-06
+8.033336E+03,+33.19544E-06,+8.033336E+03,+77.25565E-06
+8.008230E+03,+32.62566E-06,+8.008230E+03,+76.54817E-06
+7.983051E+03,+33.43227E-06,+7.983051E+03,+77.21668E-06
+7.958040E+03,+31.49819E-06,+7.958040E+03,+75.14543E-06
+7.932919E+03,+32.05563E-06,+7.932919E+03,+75.56509E-06
+7.908216E+03,+32.14732E-06,+7.908216E+03,+75.52130E-06
+7.883143E+03,+33.27566E-06,+7.883143E+03,+76.51211E-06
+7.858124E+03,+33.11642E-06,+7.858124E+03,+76.21564E-06
+7.833192E+03,+34.20595E-06,+7.833192E+03,+77.16844E-06
+7.807929E+03,+33.24833E-06,+7.807929E+03,+76.07225E-06
+7.782920E+03,+32.98956E-06,+7.782920E+03,+75.67632E-06
+7.757911E+03,+34.07482E-06,+7.757911E+03,+76.62441E-06
+7.733041E+03,+34.39725E-06,+7.733041E+03,+76.81044E-06
+7.708124E+03,+34.31546E-06,+7.708124E+03,+76.59198E-06
+7.682985E+03,+34.08521E-06,+7.682985E+03,+76.22386E-06
+7.657781E+03,+35.06530E-06,+7.657781E+03,+77.06571E-06
+7.632809E+03,+34.39537E-06,+7.632809E+03,+76.25882E-06
+7.607711E+03,+35.39128E-06,+7.607711E+03,+77.11708E-06
+7.582883E+03,+34.80565E-06,+7.582883E+03,+76.39527E-06
+7.557781E+03,+35.71592E-06,+7.557781E+03,+77.16787E-06
+7.532837E+03,+35.02104E-06,+7.532837E+03,+76.33617E-06
