Keff(MJ/m3):-0.20608066215587192 Ms(MA/m):1.2305812337239583
H(kOe) moment(emu) M(MA/m) M_norm()
9.958004 9.516373e-05 1.2391110677083332 1.0069315488897568
9.919624 9.407479e-05 1.2249321614583333 0.9954094275852639
9.881394 9.391285e-05 1.2228235677083332 0.9936959334312705
9.842709000000001 9.517451e-05 1.2392514322916668 1.0070456125366636
9.804133 9.531416e-05 1.2410697916666669 1.008523255235226
9.764804 9.522837e-05 1.239952734375 1.007615507529464
9.725993 9.565547e-05 1.2455139322916666 1.0121346711281458
9.686504000000001 9.531959e-05 1.2411404947916667 1.0085807103004116
9.647295 9.456122e-05 1.231265885416667 1.0005563644836648
9.608191000000001 9.52564e-05 1.2403177083333332 1.0079120941735074
9.568772000000001 9.520975e-05 1.2397102864583334 1.0074184885029887
9.528744000000001 9.4469e-05 1.2300651041666668 0.9995805806694047
9.488945 9.422584e-05 1.2268989583333334 0.9970076941775866
9.449568 9.446978e-05 1.2300752604166667 0.9995888338831882
9.409726000000001 9.396053e-05 1.2234444010416667 0.9942004375764009
9.369568 9.470842e-05 1.2331825520833333 1.002113894059235
9.329995 9.556072e-05 1.2442802083333333 1.0111321172743057
9.290218999999999 9.499044e-05 1.2368546875 1.005097959894169
9.250634 9.395197e-05 1.2233329427083333 0.9941098638456477
9.210393 9.472851e-05 1.233444140625 1.002326467219379
9.170031000000002 9.439519e-05 1.2291040364583334 0.9987995938625241
9.130134 9.455989e-05 1.2312485677083331 1.0005422916960593
9.09036 9.481156e-05 1.2345255208333332 1.0032052228664652
9.050522 9.481035e-05 1.234509765625 1.0031924198040574
9.010411 9.460523e-05 1.2318389322916667 1.001022036199839
8.970559 9.391558e-05 1.2228591145833334 0.9937248196795132
8.930365 9.414304e-05 1.2258208333333334 0.9961315837913284
8.890540000000001 9.435795e-05 1.228619140625 0.998405555809574
8.850476 9.467224e-05 1.2327114583333332 1.001731071912196
8.810336999999999 9.534304e-05 1.2414458333333334 1.008828835766085
8.770455 9.497446e-05 1.2366466145833332 1.0049288748220384
8.730698 9.415792e-05 1.2260145833333334 0.9962890297158152
8.690401 9.497692e-05 1.2366786458333334 1.0049549041885866
8.650482 9.483333e-05 1.2348089843749999 1.0034355721793737
8.610698000000001 9.423426e-05 1.2270085937500002 0.9970967865622761
8.570416999999999 9.498869e-05 1.2368319010416666 1.0050794430683725
8.530698000000001 9.481145e-05 1.2345240885416668 1.0032040589517008
8.490737 9.439782e-05 1.22913828125 0.9988274220064354
8.450549 9.423065e-05 1.2269615885416667 0.9970585889959187
8.410634 9.477203e-05 1.2340108072916667 1.0027869542243302
8.370597 9.479781e-05 1.234346484375 1.003059733520921
8.330738 9.420102e-05 1.22657578125 0.9967450726825753
8.290818999999999 9.445897e-05 1.2299345052083333 0.9994744528049824
8.250198000000001 9.426147e-05 1.227362890625 0.9973846967508037
8.210474 9.47346e-05 1.2335234375 1.0023909057731508
8.170486 9.516715e-05 1.2391555989583334 1.006967736057885
8.13055 9.483901e-05 1.2348829427083332 1.0034956725053876
8.090356 9.366607e-05 1.2196102864583334 0.9910847435626619
