Keff(MJ/m3):-0.0063493914187646465 Ms(MA/m):1.162707599884683
H(kOe) moment(emu) M(MA/m) M_norm()
9.96724 7.024179e-05 1.1911848799348796 1.0244922111569763
9.939056 6.93351e-05 1.1758089133089134 1.0112679347976479
9.910305000000001 6.93376e-05 1.1758513091846425 1.0113043978565746
9.881656000000001 7.010758e-05 1.188908899742233 1.0225347283015511
9.852732 6.949279e-05 1.1784830755664089 1.0135678787025133
9.824176 6.896602e-05 1.1695499253832589 1.0058848204821698
9.794889 6.983916e-05 1.1843569393569393 1.0186197625907008
9.765556 6.970976e-05 1.1821625288291955 1.0167324346606506
9.736268 6.933627e-05 1.1758287545787542 1.0112849995092255
9.706639 6.942734e-05 1.177373151539818 1.01261327581981
9.676833 6.966091e-05 1.1813341134174469 1.0160199464892214
9.647120000000001 6.88579e-05 1.167716388549722 1.0043078661097042
9.61762 6.870059e-05 1.165048670465337 1.0020134645897956
9.588056 6.962234e-05 1.1806800298466964 1.015457394416099
9.558449000000001 6.923691e-05 1.174143772893773 1.0098358116952397
9.528749 6.908118e-05 1.171502849002849 1.0075644548285727
9.498842 6.993422e-05 1.1859690001356666 1.0200062339433325
9.469093 6.969961e-05 1.181990401573735 1.016584394641408
9.438839 6.949646e-05 1.1785453127119794 1.013621406473018
9.40874 6.946971e-05 1.178091676841677 1.0132312517425013
9.378665999999999 6.965223e-05 1.181186914936915 1.0158933467486275
9.348694 6.9546e-05 1.1793854293854296 1.014343958448711
9.319203 6.963714e-05 1.1809310134310134 1.0156732557249455
9.289018 6.998141e-05 1.1867692646859311 1.0206945106436343
9.258968999999999 6.91138e-05 1.1720560303893637 1.0080402248214493
9.229019000000001 6.927577e-05 1.1748027743861078 1.0104025934831975
9.199102 6.933372e-05 1.1757855107855106 1.0112478071891202
9.168981 6.95818e-05 1.1799925383258716 1.0148661094525424
9.13911 6.926488e-05 1.1746180979514314 1.0102437603985126
9.10899 6.955792e-05 1.179587572920906 1.0145178143136737
9.079081 6.903482e-05 1.1707166598833267 1.0068882838638347
9.049175 6.93212e-05 1.175573192239859 1.011065200190015
9.019147 6.952583e-05 1.1790433794600461 1.0140497744892896
8.989073000000001 6.955836e-05 1.1795950345950346 1.0145242318120449
8.958935 6.907586e-05 1.1714126305792971 1.0074868614391765
8.929064 6.940126e-05 1.1769308777642111 1.012232893189086
8.898916 6.968623e-05 1.1817634988468322 1.0163892443500318
8.868814 6.933635e-05 1.175830111246778 1.0112861663271113
8.839212999999999 6.96822e-05 1.1816951566951566 1.0163304658990417
8.809239999999999 6.939114e-05 1.176759259259259 1.0120852907265505
8.779027 6.905696e-05 1.1710921177587843 1.00721120071369
8.749111000000001 6.921299e-05 1.173738129154796 1.0094869331474283
8.719175 6.964739e-05 1.1811048365215033 1.0158227542665454
8.689083 6.971676e-05 1.182281237281237 1.0168345312256455
8.659222 6.925037e-05 1.1743720322886988 1.0100321288045013
8.629166999999999 6.927221e-05 1.1747424026590694 1.0103506700872857
8.598953 6.942432e-05 1.1773219373219372 1.0125692284446266
8.569102 6.904946e-05 1.1709649301315967 1.0071018115369097
8.539064 6.885778e-05 1.1677143535476866 1.0043061158828757
8.509037000000001 6.937941e-05 1.1765603378103378 1.011914206054066
8.479102000000001 6.884952e-05 1.1675742775742777 1.0041856419361816
8.448666999999999 6.889891e-05 1.1684118504951837 1.004906006128339
8.418479999999999 6.911718e-05 1.1721133496133496 1.0080895228771183
8.388874 6.949449e-05 1.1785119047619048 1.0135926735825835
8.359138999999999 6.874065e-05 1.165728021978022 1.0025977486460382
8.329046 6.909941e-05 1.1718119997286662 1.0078303434542668
8.299175 6.893668e-05 1.1690523673857005 1.0054568900226049
8.268833 6.89752e-05 1.1697056030389363 1.0060187128345486
8.238991 6.92112e-05 1.1737077737077737 1.0094608255972366
8.209037 6.922479e-05 1.1739382376882377 1.0096590387855626
8.178583 6.933288e-05 1.1757712657712658 1.0112355556013208
8.148769 6.898698e-05 1.1699053724053723 1.0061905267682116
8.118556 6.894129e-05 1.1691305453805454 1.0055241279032658
8.088733 6.892622e-05 1.1688749830416496 1.005304328584055
8.058824 6.895436e-05 1.1693521910188576 1.005714756775335
8.029009 6.923992e-05 1.174194817528151 1.0098797132181876
7.998991 6.905956e-05 1.1711362094695428 1.007249122294974
7.968796 6.852334e-05 1.1620428028761363 0.9994282337118869
7.938731 6.954606e-05 1.179386446886447 1.0143448335621252
7.908759 6.976124e-05 1.1830355447022114 1.017483281970071
7.878832999999999 6.939106e-05 1.176757902591236 1.0120841239086649
7.848463 6.9098e-05 1.1717880884547551 1.007809778289032
7.818546 6.904641e-05 1.1709132071632073 1.0070573266050191
7.7883059999999995 6.907172e-05 1.1713424230090896 1.0074264786135938
7.758439999999999 6.9293e-05 1.1750949667616335 1.010653896885321
7.728768 6.947534e-05 1.1781871523538192 1.0133133665512044
7.698759 6.903463e-05 1.170713437796771 1.0068855126713558
7.668648 6.917762e-05 1.1731383123049788 1.008971053789732
7.638573999999999 6.957817e-05 1.179930979514313 1.0148131650909809
7.608287000000001 6.909899e-05 1.171804877221544 1.0078242176603671
7.578648 6.923523e-05 1.1741152828652828 1.0098113085196407
7.548324 6.912332e-05 1.1722174738841407 1.0081790761498426
7.518337000000001 6.87572e-05 1.1660086826753493 1.0028391340961336
7.488963 6.922855e-05 1.1740020010853345 1.0097138792261886
7.458722 6.910253e-05 1.1718649097815765 1.0078758493518074
7.42887 6.947967e-05 1.1782605820105818 1.0133765205692655
7.398676 6.911668e-05 1.1721048704382038 1.008082230265333
7.368843 6.882464e-05 1.1671523538190205 1.0038227615737423
7.338509 6.896161e-05 1.1694751390584721 1.0058204996462226
7.308573999999999 6.944159e-05 1.1776148080314748 1.012821115255693
7.278454 6.910333e-05 1.1718784764618098 1.0078875175306639
7.248435000000001 6.900007e-05 1.1701273572106905 1.0063814473447523
7.21862 6.887261e-05 1.1679658458825124 1.0045224147484293
7.188759 6.915648e-05 1.1727798127798128 1.0086627221634474
7.158481 6.928651e-05 1.1749849070682403 1.010559238784347
7.128481 6.903357e-05 1.170695461945462 1.006870052334371
7.098453999999999 6.93939e-05 1.1768060643060643 1.0121255459436056
7.068176 6.876241e-05 1.166097035680369 1.002915123110937
7.038019 6.933957e-05 1.175884717134717 1.0113331307470088
7.008148 6.895686e-05 1.1693945868945868 1.0057512198342617
6.9784120000000005 6.930647e-05 1.1753233957400624 1.0108503598468184
6.948582999999999 6.887652e-05 1.168032153032153 1.004579442972591
6.918444999999999 6.880005e-05 1.166735347985348 1.0034641109261386
6.888082000000001 6.930967e-05 1.175377662460996 1.0108970325622448
6.858231 6.929252e-05 1.1750868267534933 1.0106468959780068
6.828093 6.923023e-05 1.1740304911138244 1.0097383824017874
6.79845 6.897231e-05 1.1696565934065934 1.0059765615384293
6.768435 6.873073e-05 1.1655597951431285 1.002453063228217
6.738306 6.920643e-05 1.1736268823768823 1.0093912540808043
6.7079629999999995 6.902043e-05 1.170472629222629 1.006678402496652
6.678091 6.955721e-05 1.179575532492199 1.0145074588049385
6.648407 6.868562e-05 1.1647948039614706 1.0017951237929419
6.618546 6.898498e-05 1.1698714557047891 1.0061613563210703
