Keff(MJ/m3):-0.22243349284027683 Ms(MA/m):1.1864959865084423
H(kOe) moment(emu) M(MA/m) M_norm()
9.972203 0.0001248586 1.1849584699951405 0.998704153633232
9.948796 0.0001253797 1.1899039191569483 1.0028722664781484
9.925203 0.000118824 1.1276876822157431 0.9504353112345897
9.901461999999999 0.0001174424 1.1145757410106898 0.9393843330988454
9.877788 0.0001256933 1.1928801096331387 1.0053806529455553
9.852412000000001 0.0001278653 1.2134932656098152 1.0227537888103766
9.829397 0.0001226077 1.1635965211977646 0.9806999218108902
9.804962 0.0001277577 1.2124720982142856 1.021893130698473
9.780582 0.0001269668 1.2049661382410104 1.0155669736287276
9.756147 0.0001222637 1.1603318224611272 0.9779483754308265
9.731701999999999 0.0001266103 1.2015828094630705 1.0127154437319463
9.707045 0.0001246584 1.1830584912536442 0.9971028176294857
9.681999 0.0001264938 1.2004771774781338 1.0117835973561398
9.657544 0.0001220406 1.1582145134839648 0.9761638696244537
9.632702 0.000130825 1.241582012269193 1.0464274859646636
9.607916 0.0001274016 1.2090925655976674 1.0190448002742267
9.583222 0.000124836 1.1847439868804661 0.9985233834350068
9.558259 0.0001265514 1.2010238247084544 1.0122443214011736
9.533305 0.0001260505 1.1962700816933913 1.0082377819192727
9.508415999999999 0.0001262172 1.197852131924198 1.0095711620982164
9.483722 0.0001232518 1.169709289965986 0.985851872460306
9.458795 0.0001272934 1.2080657039601552 1.0181793429535206
9.433833 0.0001219435 1.157292995323129 0.9753871976665925
9.408721 0.00012488 1.1851615646258502 0.9988753254138523
9.383479999999999 0.0001271913 1.2070967337827982 1.0173626775889724
9.358582 0.0001272797 1.2079356854348877 1.0180697610191982
9.333795 0.0001241838 1.1785543458454806 0.9933066434667579
9.308971 0.000131454 1.2475514759475215 1.051458656525885
9.283793 0.0001274694 1.2097360149416907 1.019587110868902
9.258759 0.0001230679 1.1679640047983475 0.9843809149623591
9.233796 0.0001258314 1.1941907343294456 1.0064852708382495
9.208555 0.0001267995 1.2033783937682212 1.0142287942409813
9.183693 0.0001287358 1.2217546616861028 1.0297166409145788
9.158674999999999 0.0001254459 1.1905321838556846 1.0034017791826837
9.133536 0.0001269927 1.2052119396865888 1.015774139475366
9.108759 0.0001241775 1.1784945563046645 0.9932562517743324
9.083777 0.0001273752 1.208842018950437 1.0188336350869196
9.058703 0.0001255942 1.1919396106656945 1.0045879836250196
9.033610000000001 0.0001281511 1.2162056228741491 1.025039811936604
9.008768 0.0001264472 1.200034924684159 1.011410858805817
8.983574 0.0001249608 1.1859283892128276 0.9995216188659136
8.95837 0.0001297076 1.2309774356171035 1.0374897594382588
8.933796000000001 0.0001273956 1.209035623177842 1.0189968081862022
8.90873 0.0001262957 1.198597128583576 1.010199058583202
8.883402 0.0001265242 1.2007656857385807 1.0120267572687964
8.858369 0.0001276929 1.2118571200801747 1.0213748161478098
8.833527 0.0001281355 1.2160575725826044 1.0249150325077407
8.808656000000001 0.0001243868 1.1804808977162293 0.9949303757782493
8.783342000000001 0.000125135 1.1875816174684155 1.0009149891548876
8.758638000000001 0.0001262685 1.1983389896137022 1.0099814944508247
8.733629 0.0001289137 1.223443004433916 1.0311396063245013
8.708758 0.0001283877 1.218451052295918 1.0269322999410317
8.683703 0.0001273062 1.2081871811224487 1.0182817260746393
8.658828999999999 0.0001274926 1.2099561922983475 1.0197726802759295
8.633647000000002 0.0001240671 1.177446815779883 0.992373197354684
8.608675 0.0001281694 1.2163792972546157 1.0251861878050783
8.583712 0.0001213739 1.1518872616010687 0.9708311487768126
8.558619 0.0001291096 1.2253021744412047 1.032706547998497
8.533777 0.0001260924 1.1966677295918366 1.0085729266673098
8.50882 0.0001279815 1.2145960504737607 1.023683235581782
8.483527 0.0001282916 1.2175390245383864 1.026163626664508
8.45849 0.0001241751 1.1784717793367345 0.9932370549391227
8.433305 0.0001241242 1.1779887178085517 0.9928299220590492
8.408619 0.0001207798 1.146249012998056 0.9660791321942663
8.383629 0.0001286388 1.2208340925655976 1.0289407688248515
8.358786 0.0001217798 1.155739416302235 0.9740778135316612
8.333860000000001 0.0001279301 1.214108243743926 1.02327210336104
8.30874 0.0001233174 1.1703318604227404 0.9863765859560394
8.283406999999999 0.00012587 1.1945570638969871 1.0067940199378729
8.258394000000001 0.0001265749 1.2012468491861028 1.0124322904126026
8.233533 0.0001221966 1.1596950163994166 0.9774116639130872
8.208638 0.0001231984 1.1692025024295432 0.9854247428768893
