Keff(MJ/m3):0.10484430537869008 Ms(MA/m):1.146149449971553
H(kOe) moment(emu) M(MA/m) M_norm()
9.969384 6.207942e-05 1.16180493172835 1.0136591975480909
9.941172 6.180371e-05 1.156645069768834 1.0091572872957724
9.912319 6.14613e-05 1.150236929572403 1.0035662710486417
9.883356 6.248127e-05 1.1693254805964781 1.020220775419384
9.854514 6.199531e-05 1.16023082854234 1.0122858136616795
9.825162 6.16567e-05 1.1538938046472627 1.0067568454322444
9.795959 6.220205e-05 1.1640999296322907 1.0156615523928256
9.766755 6.216136e-05 1.1633384237633244 1.0149971487507132
9.737022999999999 6.185064e-05 1.1575233560905491 1.0099235803143112
9.707550999999999 6.183656e-05 1.1572598514792185 1.009693676080324
9.677947 6.229778e-05 1.1658914989819136 1.0172246725859797
9.648301 6.164614e-05 1.1536961761887645 1.0065844172567537
9.618606 6.171519e-05 1.1549884342436214 1.0077118950519828
9.588754999999999 6.218267e-05 1.163737236495388 1.0153451075025788
9.55923 6.175341e-05 1.155703714516708 1.0083359674825934
9.529338 6.15251e-05 1.1514309348424956 1.004608024608897
9.499736 6.218733e-05 1.1638244475386268 1.0154211979663843
9.469653000000001 6.186686e-05 1.1578269104084316 1.0101884273793165
9.439718000000001 6.151689e-05 1.1512772862019398 1.0044739682338235
9.409931 6.208297e-05 1.1618713693256673 1.0137171634593591
9.37969 6.176683e-05 1.1559548673493825 1.0085550949556124
9.349699000000001 6.171687e-05 1.1550198751347462 1.0077393268071746
9.319615 6.176609e-05 1.1559410183854348 1.0085430119205876
9.289806 6.183222e-05 1.1571786291771464 1.0096228107127454
9.259903 6.157239e-05 1.1523159584980232 1.005380195860691
9.229829 6.139206e-05 1.1489411157024787 1.002435690852528
9.199654 6.200215e-05 1.1603588378847762 1.0123975000935315
9.169806000000001 6.192256e-05 1.1588693256677443 1.0110979206913262
9.139796 6.129233e-05 1.1470746870882735 1.000807256956537
9.109905000000001 6.208652e-05 1.1619378069229842 1.0137751293706272
9.079458 6.152868e-05 1.151497933884297 1.0046664803729364
9.049806 6.13783e-05 1.1486835998323146 1.0022110117147678
9.019995999999999 6.194262e-05 1.159244744879626 1.0114254689110551
8.989727 6.190994e-05 1.158633144687986 1.0108918559588742
8.959598 6.140138e-05 1.1491155377889564 1.002587871780139
8.929720999999999 6.165759e-05 1.1539104608336321 1.0067713777311256
8.899986 6.220082e-05 1.1640769104084316 1.0156414684292032
8.869541 6.173812e-05 1.1554175649778413 1.008086305853498
8.839681 6.18391e-05 1.1573073871122284 1.0097351502816254
8.809550999999999 6.209423e-05 1.1620820981554671 1.013901021532846
8.779729 6.173813e-05 1.1554177521260025 1.008086469137755
8.749985 6.157208e-05 1.1523101569050183 1.0053751340487214
8.719764 6.166947e-05 1.1541327928494425 1.0069653594285524
8.689606 6.186643e-05 1.1578188630374888 1.0101814061562613
8.659708 6.15406e-05 1.151721014492753 1.0048611152073914
8.629644 6.159114e-05 1.1526668613007538 1.0056863538427407
8.599787000000001 6.181472e-05 1.1568511198945977 1.009337063262832
8.569765 6.186973e-05 1.1578806219307696 1.0102352899611022
8.539792 6.154866e-05 1.151871855910887 1.0049927223186088
8.509801 6.18499e-05 1.1575095071266017 1.0099114972792864
8.479541999999999 6.161891e-05 1.1531865717451186 1.006139794224689
8.449745 6.149167e-05 1.1508052985387467 1.0040621653374342
8.419272999999999 6.203202e-05 1.1609178494430465 1.0128852301694689
8.389412 6.173928e-05 1.1554392741645703 1.0081052468273206
8.359606 6.163645e-05 1.153514829620313 1.0064261948116304
8.32957 6.183637e-05 1.1572562956641508 1.009690573679439
8.299749 6.163264e-05 1.1534435261707983 1.006363983509678
8.269903000000001 6.146412e-05 1.150289705353934 1.0036123172091422
8.239885000000001 6.116839e-05 1.1447551727751821 0.998783511874123
8.209772999999998 6.176341e-05 1.1558908626781645 1.0084992517396865
8.179514 6.138136e-05 1.1487408671697203 1.0022609766974382
8.149357 6.15708e-05 1.1522862019403515 1.005354233663813
8.119384 6.195182e-05 1.1594169211881655 1.0115756904275808
8.089384 6.146981e-05 1.1503961926578028 1.0037052259514283
8.059172 6.15668e-05 1.152211342675769 1.0052889199609758
8.029468 6.18683e-05 1.1578538597436814 1.010211940312338
7.99944 6.14918e-05 1.1508077314648455 1.0040642880327764
