Keff(MJ/m3):0.00589443497662628 Ms(MA/m):1.1196901546663542
H(kOe) moment(emu) M(MA/m) M_norm()
9.967786 6.934803e-05 1.1285571308610152 1.0079191338404714
9.9395 6.968023e-05 1.133963292778982 1.0127473998526682
9.910853 6.983047e-05 1.1364082710046153 1.0149310202189308
9.882425999999999 6.997889e-05 1.1388236308837985 1.0170881883150482
9.853231 6.893434e-05 1.1218248156176565 1.0019064746996353
9.824202999999999 6.94646e-05 1.1304541696773227 1.0096133872090498
9.794906999999998 7.008929e-05 1.1406202602508773 1.0186927655809923
9.765991 7.018894e-05 1.1422419460881 1.0201411000425076
9.736973 6.919084e-05 1.1259990496091028 1.0056345006843688
9.707084 7.016091e-05 1.1417857910051359 1.0197337060138445
9.677389 6.902403e-05 1.1232844142402405 1.003210048386071
9.647887 6.936338e-05 1.1288069339478326 1.008142234030981
9.618454 6.908171e-05 1.124223087989272 1.0040483818706691
9.58851 6.999342e-05 1.1390600894408964 1.017299370449778
9.558723 6.896751e-05 1.1223646181186167 1.0023885745901369
9.528787 6.977905e-05 1.1355714713483183 1.0141836709162602
9.498944 6.971908e-05 1.134595530558973 1.0133120540807652
9.469037 7.048392e-05 1.147042396547347 1.024428402596023
9.439352000000001 6.875485e-05 1.1189038282526478 0.999297728563184
9.409379999999999 6.933055e-05 1.1282726645445609 1.0076650757733636
9.379046 6.923241e-05 1.1266755521706018 1.00623868797554
9.348870000000002 6.985166e-05 1.1367531131811404 1.015239000221334
9.319282999999999 6.924896e-05 1.126944883837496 1.0064792292232878
9.289768 6.911821e-05 1.124817082299946 1.0045788806950076
9.259574 6.898672e-05 1.122677238138015 1.0026677768480967
9.229398 6.969715e-05 1.1342386457580669 1.0129933187597313
9.199110000000001 6.908196e-05 1.124227156443455 1.0040520154242607
9.169194 6.954969e-05 1.1318389087429452 1.0108501035094046
9.139538 6.917294e-05 1.1257077482896218 1.0053743382472278
9.109722 6.953836e-05 1.1316545263993854 1.010685430860644
9.079685 6.926792e-05 1.1272534354027117 1.0067547979276565
9.049453 6.9819e-05 1.136221610326713 1.0147643127801593
9.019352000000001 6.944408e-05 1.130120230958007 1.009315145130271
8.989352 6.926243e-05 1.12716409214886 1.0066750050907904
8.959520000000001 6.941782e-05 1.1296928805306565 1.008933476661035
8.929639 6.91264e-05 1.1249503648589712 1.0046979159106606
8.899379999999999 6.930064e-05 1.127785914686143 1.0072303574216934
8.869277 6.930027e-05 1.1277798933739527 1.0072249797623782
8.839129000000002 6.96071e-05 1.1327731885614596 1.011684512756124
8.809241 6.948842e-05 1.13084181199185 1.0099595921952345
8.779056 6.942739e-05 1.1298486209567702 1.0090725690925122
8.749083 6.90223e-05 1.1232562605372962 1.0031849041952188
8.719166999999999 6.93874e-05 1.129197831025706 1.0084913458600384
8.689557 6.980071e-05 1.135923962218707 1.0144984819994154
8.659527 6.868135e-05 1.117707702722935 0.9982294638073246
8.629222 6.891863e-05 1.1215691539568156 1.0016781421919543
8.599350000000001 6.959785e-05 1.1326226557566996 1.0115500712732437
8.569462999999999 6.970645e-05 1.134389992253663 1.0131284869533297
8.539519 6.926237e-05 1.127163115719856 1.0066741330379283
8.509352000000002 6.896001e-05 1.1222425644931358 1.0022795679823961
8.479604 6.952609e-05 1.1314548466680987 1.0105070960503804
8.44937 6.962993e-05 1.1331447197974234 1.012016328870087
8.419361 6.924579e-05 1.1268932958384597 1.0064331557637496
8.389175999999999 6.913961e-05 1.1251653419779848 1.0048899128824278
8.35914 6.918209e-05 1.1258566537127084 1.0055073263086711
8.329306 6.971581e-05 1.1345423151782632 1.01326452719979
8.299138999999998 6.933399e-05 1.1283286464741147 1.0077150734707805
8.269198000000001 6.922535e-05 1.1265606590244823 1.0061360764221199
8.239186 6.947081e-05 1.1305552300792208 1.0097036446802592
8.209230999999999 6.952314e-05 1.1314068389087428 1.0104642201180023
8.179064 6.904419e-05 1.1236124943855332 1.0035030581476783
8.149167 6.886246e-05 1.1206550536710473 1.000861755371048
8.119027 6.941769e-05 1.1296907649344814 1.0089315872131672
8.089064 6.916474e-05 1.1255743029924294 1.0052551576894313
8.059 6.9102e-05 1.12455328373074 1.0043432810801438
