Keff(MJ/m3):-0.21391800975223732 Ms(MA/m):1.3137659487731537
H(kOe) moment(emu) M(MA/m) M_norm()
9.971824 5.778929e-05 1.157484241710522 0.9989986251153561
9.948494 5.771363e-05 1.1559688180441676 0.9976906970204404
9.925062 5.792639e-05 1.1602302711138683 1.001368661353962
9.901431 5.806109e-05 1.1629282299806136 1.0036972089932055
9.877550999999999 5.773202e-05 1.1563371585308746 0.9980086034130587
9.853375 5.819243e-05 1.165558890096117 1.0059676725933404
9.829068999999999 5.804907e-05 1.162687476709802 1.0034894202580626
9.805228 5.769897e-05 1.1556751871830948 0.9974372708259986
9.780912 5.772787e-05 1.1562540365613347 0.9979368627099936
9.756352999999999 5.768957e-05 1.1554869109147399 0.9972747738118273
9.731708000000001 5.775657e-05 1.156828880061525 0.9984329972107084
9.706847 5.784418e-05 1.158583654941373 0.9999475039566186
9.682088 5.773705e-05 1.1564379063638348 0.9980955566025568
9.657125 5.74972e-05 1.1516338571122475 0.9939492897037264
9.632504999999998 5.795987e-05 1.1609008550994557 1.0019474273150746
9.607773 5.798972e-05 1.161498732398434 1.002463441769651
9.583249 5.756541e-05 1.1530000618212353 0.9951284302714528
9.558356999999999 5.772559e-05 1.156208369551564 0.997897448540599
9.533348 5.79112e-05 1.1599260246759628 1.0011060730938277
9.508579 5.793834e-05 1.1604696223273623 1.001575240004957
9.483662 5.796201e-05 1.1609437179945918 1.0019844213161733
9.458653 5.783005e-05 1.1583006396571331 0.9997032398278695
9.433781999999999 5.774818e-05 1.156660833477323 0.9982879599821023
9.408755 5.747146e-05 1.1511183006071988 0.993504324475559
9.383606 5.777812e-05 1.1572605134214238 0.9988055302591546
9.358375 5.789137e-05 1.159528841867295 1.0007632735415917
9.333403 5.755768e-05 1.1528452346345988 0.9949948024076716
9.308495 5.801812e-05 1.1620675670815486 1.0029543901954452
9.283702 5.799396e-05 1.161583657013096 1.002536738295192
9.258634 5.790207e-05 1.1597431563429756 1.0009482435470847
9.23357 5.816533e-05 1.1650160936203278 1.0054991971588676
9.208459000000001 5.783545e-05 1.1584087983644862 0.9997965891764361
9.18332 5.751671e-05 1.1520246305160349 0.9942865574427139
9.158356 5.804631e-05 1.1626321955927108 1.0034417083687954
9.133664000000001 5.818365e-05 1.1653830320497174 1.0058158934673378
9.108616 5.752112e-05 1.1521129601270397 0.9943627927440433
9.083634 5.770684e-05 1.1558328184843667 0.9975733188580763
9.058394 5.814563e-05 1.1646215146323928 1.005158644905764
9.033421 5.788118e-05 1.1593247423806423 1.0005871198634635
9.008439000000001 5.736568e-05 1.1489995917064988 0.9916757144586389
8.983578 5.780249e-05 1.157748629661829 0.9992268124118521
8.958375 5.826317e-05 1.1669757691624387 1.007190549059562
8.933375 5.795803e-05 1.1608640010213949 1.0019156193888965
8.908505 5.772044e-05 1.1561052181917737 0.9978084209211328
8.883199000000001 5.785164e-05 1.1587330741926423 1.0000764643529718
8.858227000000001 5.8045e-05 1.1626059570914828 1.00341906250831
8.833394 5.791906e-05 1.1600834556833322 1.0012419482567414
8.808440000000001 5.777036e-05 1.1571050853530795 0.9986713837878811
8.783673 5.80489e-05 1.1626840717134597 1.0034864814822746
8.758773 5.789736e-05 1.1596488179148958 1.000866822170835
8.733625 5.788396e-05 1.159380424085539 1.000635177491059
8.708653 5.803661e-05 1.1624379105072808 1.0032740252797037
8.683449000000001 5.788914e-05 1.1594841763270365 1.000724723718017
8.658764 5.729555e-05 1.1475949305682298 0.990463383011422
8.633689 5.754974e-05 1.1526862012760097 0.994857544291446
8.608671000000001 5.79551e-05 1.1608053149079607 1.0018649687238408
8.583542 5.789373e-05 1.1595761112282865 1.0008040706642987
8.558569 5.76457e-05 1.1546082215644498 0.9965163967893061
8.533699 5.775959e-05 1.1568893688200814 0.9984852036982401
8.508635 5.812937e-05 1.1642958367469192 1.00487755964508
8.483653 5.759483e-05 1.1535893264824058 0.9956370113519766
8.458542 5.771785e-05 1.1560533420710248 0.9977636478076536
8.433245000000001 5.810231e-05 1.16375384144674 1.0044097756872634
8.408465 5.798212e-05 1.16134650903253 1.0023320612050017
8.383579 5.735151e-05 1.148715775246649 0.9914307588532338
8.358598 5.773212e-05 1.1563391614698997 0.9980103321046988
8.333589 5.84826e-05 1.1713708182651106 1.01098381712548
8.308736000000001 5.763087e-05 1.1543111857070345 0.9962600318190762
8.283505 5.756243e-05 1.1529403742382889 0.9950769152605774
8.25856 5.799823e-05 1.1616691825094658 1.0026105534282252
8.233754999999999 5.83136e-05 1.1679858513127725 1.0080623282536751
8.208406 5.778295e-05 1.1573572553763336 0.9988890260653724
8.183228 5.768897e-05 1.1554748932805898 0.9972644016619866
8.158394 5.790892e-05 1.1598803576661918 1.001066658924433
8.133181 5.788719e-05 1.159445119016048 1.0006910142310348
8.108198999999999 5.732768e-05 1.1482384748769792 0.9910188116353931
8.083421999999999 5.806469e-05 1.1630003357855154 1.0037594418922497
8.058356999999999 5.799126e-05 1.1615295776594199 1.0024900636209089
8.033496 5.75288e-05 1.1522667858441638 0.9944955562620045
8.00858 5.811586e-05 1.1640252396846347 1.0046440134044998
