Ms(MA/m):1.1997109886001167
H(kOe) moment(emu) M(MA/m) M_norm()
9.993302 9.339e-05 1.212227414330218 1.0104328674564416
9.976918 9.202709e-05 1.194536474558671 0.995686866178092
9.958574 9.12442e-05 1.1843743509865006 0.9872163898144237
9.939926 9.107799e-05 1.1822169003115266 0.9854180811421898
9.921278000000001 9.191089e-05 1.1930281671858776 0.9944296405736543
9.902379999999999 9.325597e-05 1.21048766874351 1.0089827302123555
9.883287000000001 9.317676e-05 1.2094595015576326 1.0081257178188314
9.864287000000001 9.221989e-05 1.1970390706126688 0.9977728652876926
9.844769 9.247712e-05 1.2003779854620977 1.0005559646184112
9.825519 9.182939e-05 1.191970275181724 0.9935478515309549
9.805991 9.124205e-05 1.184346443406023 0.9871931278948924
9.78612 9.202953e-05 1.1945681464174456 0.9957132657518858
9.766823 9.305821e-05 1.2079206905503637 1.0068430663953711
9.747287 9.283046e-05 1.2049644340602286 1.004378925849668
9.727416999999999 9.374242e-05 1.2168019210799588 1.0142458747500382
9.707381999999999 9.199352e-05 1.1941007268951194 0.9953236556484795
9.687519 9.221912e-05 1.1970290758047768 0.9977645342746512
9.667556000000001 9.170917e-05 1.1904097871235721 0.9922471315467423
9.647818 9.269358e-05 1.20318769470405 1.0028979530378312
9.627796 9.195482e-05 1.1935983904465213 0.9949049410969154
9.608055 9.323206e-05 1.210177310488058 1.0087240360281722
9.588269 9.377519e-05 1.2172272845275183 1.0146004296816855
9.568218 9.309332e-05 1.208376427829699 1.0072229389510665
9.548093000000001 9.190441e-05 1.1929440550363446 0.9943595302301366
9.528037 9.219644e-05 1.1967346832814123 0.9975191480723392
9.508093 9.111081e-05 1.1826429127725857 0.98577317704871
9.488010000000001 9.173e-05 1.190680166147456 0.9924725016787599
9.468231 9.336535e-05 1.211907450674974 1.0101661668441404
9.448277000000001 9.332447e-05 1.2113768172377986 1.0097238657881213
9.428453 9.33355e-05 1.211519989615784 1.0098432048450658
9.408472 9.2854e-05 1.2052699896157841 1.0046336168197925
9.38837 9.141467e-05 1.1865870976116302 0.9890607895458222
9.368154 9.202352e-05 1.194490134994808 0.9956482405721726
9.348046 9.170851e-05 1.1904012201453793 0.9922399906784211
9.328287 9.254722e-05 1.2012879023883698 1.0013144113901074
9.308333000000001 9.323776e-05 1.2102512980269993 1.0087857071636739
9.288480999999999 9.164642e-05 1.1895952751817238 0.9915682080813509
9.268481 9.188631e-05 1.1927091121495328 0.9941636973261752
9.248343 9.289836e-05 1.2058457943925234 1.00511356972696
9.228185999999999 9.141551e-05 1.1865980010384216 0.9890698779236856
9.20824 9.255626e-05 1.201405244029076 1.0014122196471136
9.188156999999999 9.265534e-05 1.202691329179647 1.002484215455097
9.168146 9.219583e-05 1.1967267653167186 0.9975125481788908
9.148064 9.250313e-05 1.2007156022845278 1.0008373797472532
9.128176 9.241716e-05 1.1995996884735205 0.9999072275509235
9.108398 9.248559e-05 1.2004879283489096 1.0006476057618672
9.088306000000001 9.166134e-05 1.1897889408099689 0.9917296349834009
9.068352 9.151801e-05 1.1879284787123572 0.9901788764129702
9.047846 9.327686e-05 1.210758826583593 1.0092087495142203
9.027806 9.278231e-05 1.2043394340602285 1.0038579670471406
9.008056 9.390215e-05 1.2188752596053998 1.0159740730787545
8.988111 9.233203e-05 1.1984946780893044 0.9989861637324572
8.968146 9.103472e-05 1.181655244029076 0.9849499214872499
8.948093 9.231141e-05 1.1982270249221185 0.9987630656949056
8.928156999999999 9.196094e-05 1.193677829698858 0.9949711564213489
8.908018 9.294563e-05 1.2064593717549326 1.0056250073717257
8.887906999999998 9.358813e-05 1.2147991952232609 1.0125765344874849
8.868018 9.317628e-05 1.2094532710280375 1.0081205244600522
8.848037 9.135185e-05 1.1857716770508828 0.988381108715609
8.827943999999999 9.293113e-05 1.2062711578400833 1.0054681246586072
8.808202999999999 9.229867e-05 1.1980616562824506 0.9986252252973105
8.788227000000001 9.213967e-05 1.1959977933541017 0.9969049252017375
8.768019 9.238783e-05 1.1992189771547248 0.9995898916905263
8.74811 9.240307e-05 1.1994167964693665 0.9997547808317623
8.728064 9.272728e-05 1.2036251298027 1.0032625701021132
