Keff(MJ/m3):-0.000860981561667379 Ms(MA/m):1.0861791803278689
H(kOe) moment(emu) M(MA/m) M_norm()
9.972712 5.950122e-05 1.0838109289617486 0.9978196494565424
9.949173 5.826148e-05 1.0612291438979964 0.9770295390652387
9.925767 5.996674e-05 1.0922903460837885 1.0056262961642066
9.902118 5.962621e-05 1.0860876138433517 0.9999156985457136
9.878173 6.002887e-05 1.0934220400728598 1.0066681997557756
9.854257 5.963684e-05 1.0862812386156648 1.0000939608212387
9.829803 5.934964e-05 1.0810499089253187 0.9952776931325439
9.805729 6.082905e-05 1.1079972677595629 1.0200870057416385
9.781257 5.977417e-05 1.0887826958105644 1.0023969484315745
9.756794 5.925513e-05 1.0793284153005465 0.9936927855445965
9.732341 5.961104e-05 1.0858112932604735 0.9996613016765022
9.707803 5.857219e-05 1.0668887067395265 0.982240063207141
9.682924000000002 5.925443e-05 1.079315664845173 0.9936810467305918
9.658192 6.04582e-05 1.1012422586520947 1.0138679497794085
9.633441999999999 5.965296e-05 1.086574863387978 1.0003642889380275
9.608497999999999 5.950709e-05 1.0839178506375227 0.997918087796837
9.583691 5.975577e-05 1.0884475409836065 1.0020883853205997
9.558905000000001 6.018588e-05 1.0962819672131148 1.0093012157369803
9.533775 6.028188e-05 1.0980306010928962 1.0109111102290231
9.50897 6.020715e-05 1.096669398907104 1.0096579079853736
9.483941999999999 5.968075e-05 1.0870810564663025 1.0008303198540054
9.458979 5.99315e-05 1.0916484517304188 1.0050353307277526
9.433941999999998 5.963308e-05 1.0862127504553734 1.0000309066203004
9.409199000000001 5.871013e-05 1.0694012750455375 0.984553280355395
9.384267 6.087149e-05 1.1087703096539163 1.0207987132649956
9.359202 5.97853e-05 1.0889854280510016 1.0025835955742457
9.334285 5.911129e-05 1.076708378870674 0.9912806269640189
9.309479 5.978313e-05 1.0889459016393443 1.002547205250832
9.284257 5.996457e-05 1.0922508196721312 1.0055899058407929
9.259396 5.968706e-05 1.0871959927140253 1.0009361368773886
9.234303 6.04435e-05 1.1009744990892532 1.0136214346853143
9.20935 5.959387e-05 1.0854985428051 0.9993733653387065
9.184275 5.839359e-05 1.063635519125683 0.9792449886625696
9.159322 5.964015e-05 1.0863415300546448 1.0001494686417456
9.134034 6.01733e-05 1.0960528233151183 1.0090902524795855
9.109388000000001 5.878618e-05 1.0707865209471767 0.9858286186483102
9.084202999999999 5.976412e-05 1.088599635701275 1.0022284126019387
9.058877 5.943588e-05 1.0826207650273225 0.9967239150178958
9.033766 5.818159e-05 1.0597739526411656 0.9756898049926416
9.008813 5.953333e-05 1.084395810564663 0.9983581256246621
8.98397 6.028182e-05 1.0980295081967213 1.0109101040449655
8.959137 5.886941e-05 1.0723025500910746 0.9872243636334427
8.934044 5.88771e-05 1.0724426229508197 0.987353322890149
8.90897 5.881782e-05 1.0713628415300545 0.9863592130413125
8.883996999999999 5.926175e-05 1.0794489981785065 0.9938038011856102
8.859053 5.906321e-05 1.0758326047358835 0.9904743381392541
8.833934 5.987665e-05 1.0906493624772313 1.0041155108018303
8.809127 5.909402e-05 1.0763938069216759 0.9909910136527942
8.784070999999999 5.961211e-05 1.0858307832422587 0.9996792452921947
8.758987999999999 6.000637e-05 1.0930122040072858 1.006290880734203
8.734303 6.003963e-05 1.0936180327868854 1.0068486420967588
8.709013 5.912082e-05 1.0768819672131147 0.9914404425318226
8.683794 6.061489e-05 1.1040963570127504 1.0164955994456395
8.659155 5.938164e-05 1.0816327868852458 0.9958143246298915
8.634341000000001 5.740251e-05 1.0455830601092897 0.9626248404003425
8.609043999999999 5.976958e-05 1.0886990892531876 1.0023199753511738
8.584155 5.947977e-05 1.0834202185792348 0.9974599386559765
8.558941999999998 5.974841e-05 1.0883134790528233 1.0019649600762097
8.534094 6.003235e-05 1.093485428051002 1.0067265584311123
8.508961 5.957054e-05 1.0850735883424407 0.9989821274376715
8.483905 5.921622e-05 1.0786196721311476 0.9930402751832903
8.458998 5.998603e-05 1.0926417122040073 1.0059497843387015
8.433969999999999 5.954336e-05 1.0845785063752276 0.9985263260596119
8.408933000000001 5.920672e-05 1.078446630236794 0.9928809627075151
8.383987999999999 5.927988e-05 1.0797792349726776 0.9941078364683262
8.358921 5.885145e-05 1.0719754098360657 0.9869231792055564
8.333858 5.997512e-05 1.0924429872495445 1.0057668265375745
8.309025 6.004126e-05 1.093647723132969 1.006875976763655
8.283858 5.989281e-05 1.0909437158469946 1.004386509707991
8.258637 6.014788e-05 1.0955897996357011 1.0086639658338798
8.233868000000001 5.862902e-05 1.0679238615664846 0.9831930872069616
8.208914 5.987247e-05 1.0905732240437158 1.0040454133124892
8.183867 6.105284e-05 1.1120735883424409 1.0238399045788704
8.158914 5.906749e-05 1.0759105646630238 0.9905461126020244
8.133682 5.913111e-05 1.0770693989071036 0.9916130030976885
8.108636 5.9733e-05 1.0880327868852457 1.0017065384707682
8.083765999999999 5.872734e-05 1.0697147540983605 0.9848418874825622
8.058729 5.98646e-05 1.0904298724954462 1.0039134355036103
8.033951 6.002509e-05 1.0933531876138434 1.0066048101601515
8.008821 5.92127e-05 1.0785555555555557 0.9929812457185822
7.983664 6.037456e-05 1.099718761384335 1.012465329203216
7.958636 5.931767e-05 1.0804675774134789 0.994741564727225
7.933673 5.814283e-05 1.059067941712204 0.9750398100914793
7.908516 5.964527e-05 1.0864347905282332 1.0002353296813213
7.8835619999999995 5.966322e-05 1.0867617486338796 1.0005363464118646
7.8587929999999995 5.935324e-05 1.0811154826958107 0.9953380641759957
7.833576 5.997013e-05 1.0923520947176686 1.005683145563457
7.808469 5.917104e-05 1.0777967213114754 0.9922826185879727
7.783139 5.963748e-05 1.0862928961748632 1.0001046934511855
7.758423 5.925743e-05 1.0793703096539162 0.9937313559334682
7.733451 5.878313e-05 1.070730965391621 0.9857774709587191
7.7086120000000005 5.981249e-05 1.0894806921675775 1.0030395646496484
7.683479 5.962079e-05 1.085988888888889 0.9998248065858503
7.658275 5.803641e-05 1.0571295081967211 0.9732551749681126
7.633571 5.883772e-05 1.0717253187613844 0.9866929307537257
7.608488 5.927407e-05 1.0796734061930784 0.994010404312089
7.58343 5.828423e-05 1.0616435336976322 0.9774110505203842
7.558376 5.95351e-05 1.0844280510018214 0.998387808054359
7.5333760000000005 6.01957e-05 1.0964608378870673 1.0094658945277288
7.508515999999999 5.898629e-05 1.0744315118397085 0.9891844101775047
7.483466 5.933704e-05 1.0808204007285973 0.9950663944804633
7.458303 5.878775e-05 1.0708151183970855 0.9858549471311487
7.433395000000001 5.959965e-05 1.085603825136612 0.999470294402915
7.408423 6.006596e-05 1.0940976320582876 1.00729018920067
7.383673 5.892315e-05 1.0732814207650274 0.9881255691543008
7.358516 5.986294e-05 1.090399635701275 1.0038855977446854
7.333599 6.010235e-05 1.0947604735883425 1.00790043983156
7.3083029999999995 6.00871e-05 1.0944826958105645 1.0076447013836054
7.283183 6.044179e-05 1.1009433515482694 1.0135927584396747
7.258386000000001 5.919957e-05 1.078316393442623 0.9927610591073266
7.233432 5.981932e-05 1.0896051001821492 1.0031541019348633
7.208729 5.893501e-05 1.0734974499089254 0.9883244582030053
7.183358 5.946807e-05 1.0832071038251365 0.9972637327647588
7.158479000000001 5.993997e-05 1.0918027322404371 1.0051773703772067
7.133349 5.978788e-05 1.0890324225865209 1.0026268614887193
7.10823 5.877655e-05 1.0706111111111112 0.9856671261070771
7.083043 6.064458e-05 1.1046371584699453 1.0169934928567723
7.058388 5.989052e-05 1.0909020036429873 1.004348107016462
7.033367 6.00442e-05 1.0937012750455373 1.0069252797824735
7.008247 6.050205e-05 1.1020409836065574 1.0146033026281176
6.983015 6.017405e-05 1.0960664845173043 1.0091028297803046
6.958062 5.948892e-05 1.0835868852459016 0.9976133817247493
6.933099 5.988662e-05 1.090830965391621 1.0042827050527225
6.908275 5.976517e-05 1.0886187613843352 1.0022460208229456
6.882979000000001 5.935021e-05 1.08106029143898 0.9952872518810904
6.857988000000001 5.849768e-05 1.0655315118397084 0.9809905503050355
6.833071 5.98307e-05 1.0898123861566484 1.0033449415111078
6.808071 5.934938e-05 1.0810451730418944 0.9952733330016281
6.783099 6.054751e-05 1.1028690346083787 1.0153656547490368
6.758006 5.898624e-05 1.0744306010928961 0.9891835716907901
6.733256 5.918871e-05 1.0781185792349728 0.9925789397929142
6.708182 5.934939e-05 1.0810453551912567 0.9952735006989708
6.683293 5.85881e-05 1.0671785063752277 0.9825068696797284
6.657997 5.919499e-05 1.0782329690346082 0.9926842537242686
6.633076 5.965475e-05 1.0866074681238616 1.0003943067624104
6.607868000000001 5.99474e-05 1.0919380692167577 1.0053019695029972
6.582988 5.9335e-05 1.080783242258652 0.9950321842225074
6.55771 5.986077e-05 1.0903601092896174 1.0038492074212715
6.532701 5.981419e-05 1.0895116575591985 1.0030680731979449
6.50771 5.962917e-05 1.0861415300546449 0.9999653369592182
6.482868000000001 5.854353e-05 1.0663666666666665 0.9817594426223288
6.457997000000001 5.984005e-05 1.0899826958105645 1.0035017385267389
6.4330810000000005 5.972729e-05 1.0879287795992714 1.0016107832879604
6.407922999999999 5.864312e-05 1.0681806921675774 0.9834295404604806
6.383016 5.906294e-05 1.0758276867030965 0.9904698103109952
6.357997 6.051877e-05 1.1023455373406192 1.0148836925854816
6.332738999999999 5.929039e-05 1.0799706739526411 0.9942840863757363
6.307906 5.991362e-05 1.0913227686703098 1.0047354878786097
6.2831909999999995 5.904085e-05 1.0754253187613843 0.9900993668804824
6.25793 5.92271e-05 1.0788178506375228 0.9932227298923885
6.232774 5.937781e-05 1.081563023679417 0.9957500965475526
6.207756000000001 5.963937e-05 1.0863273224043717 1.0001363882489978
6.182682 5.862705e-05 1.0678879781420765 0.9831600508304063
6.157719 5.938049e-05 1.0816118397085608 0.9957950394354554
6.1327929999999995 5.965914e-05 1.0866874316939892 1.0004679258959528
6.107969 5.872897e-05 1.0697444444444444 0.9848692221494583
6.082793 6.111254e-05 1.11316102003643 1.0248410577161093
6.057654 5.858318e-05 1.0670888888888888 0.9824243625870112
6.032775 5.921493e-05 1.0785961748633879 0.9930186422260534
6.007941 5.903546e-05 1.075327140255009 0.9900089780126479
5.982904 5.910738e-05 1.0766371584699452 0.9912150573029366
5.957979 5.880676e-05 1.0711613843351546 0.9861737397800417
5.932951 6.018548e-05 1.0962746812386155 1.0092945078432634
5.907557 5.805218e-05 1.0574167577413478 0.9735196336778993
5.8825709999999996 5.906091e-05 1.0757907103825137 0.9904357677503822
5.857691 6.11465e-05 1.1137795992714026 1.0254105578926695
5.832867 5.937313e-05 1.0814777777777775 0.9956716141910655
5.807645000000001 5.878438e-05 1.0707537340619309 0.9857984331265843
5.782681999999999 5.953548e-05 1.0844349726775957 0.9983941805533901
5.757664 5.879322e-05 1.0709147540983606 0.9859466775777266
5.732664 6.015721e-05 1.0957597449908927 1.0088204274548256
5.707812 5.992808e-05 1.0915861566484517 1.0049779782364736
5.682792999999999 5.868312e-05 1.0689092896174863 0.984100329832165
5.657721 6.010399e-05 1.0947903460837887 1.007927942195799
5.632524999999999 5.990746e-05 1.0912105646630237 1.0046321863153702
5.607367 5.858032e-05 1.0670367941712204 0.9823764011469358
5.582524 5.889464e-05 1.0727621129326046 0.9876474640296325
5.5577380000000005 5.920855e-05 1.0784799635701274 0.9929116513212697
5.532608 5.932334e-05 1.0805708561020035 0.9948366491206613
5.507562 5.964219e-05 1.0863786885245903 1.0001836788997016
5.482571 5.914664e-05 1.077352276867031 0.9918734370712451
5.4573860000000005 5.930549e-05 1.080245719489982 0.9945373093635472
5.4323950000000005 5.892458e-05 1.0733074681238615 0.9881495498743386
5.407547999999999 5.872173e-05 1.069612568306011 0.9847478092731834
5.382703 5.988702e-05 1.0908382513661201 1.0042894129464395
5.357284 6.031173e-05 1.0985743169398907 1.0114116867976426
5.332747 5.829566e-05 1.0618517304189437 0.9776027285833431
5.307414 5.897562e-05 1.0742371584699453 0.989005477112608
5.282368 5.825243e-05 1.0610642987249543 0.9768777729698949
5.2573490000000005 5.855997e-05 1.0666661202185792 0.9820351370540913
5.232432 6.027001e-05 1.0978143897996355 1.0107120534829757
5.207451 5.895882e-05 1.0739311475409836 0.9887237455765004
5.182339 5.913603e-05 1.0771590163934426 0.9916955101904056
5.157303 5.924678e-05 1.079176320582878 0.9935527582632572
5.132303 5.924081e-05 1.079067577413479 0.9934526429495333
5.1072 5.997575e-05 1.0924544626593806 1.0057773914701786
5.082301999999999 5.901844e-05 1.0750171220400728 0.9897235571349962
5.057516 6.094614e-05 1.1101300546448087 1.022050573929902
5.03246 5.869199e-05 1.0690708561020035 0.984249077375336
5.007534 5.962959e-05 1.086149180327869 0.9999723802476209
4.982738 5.928463e-05 1.0798657559198543 0.9941874927062138
4.957562 5.965434e-05 1.0866 1.0003874311713505
4.9325529999999995 5.873427e-05 1.0698409836065572 0.9849581017412065
4.907515 5.934864e-05 1.0810316939890712 0.9952609233982519
4.8826909999999994 6.071926e-05 1.1059974499089253 1.0182458566137074
4.857608 5.950975e-05 1.0839663023679416 0.997962695290054
4.8323860000000005 5.879874e-05 1.071015300546448 0.986039246511019
4.807414 5.90979e-05 1.076464480874317 0.9910560802218474
4.782321 5.923437e-05 1.0789502732240437 0.9933446458606922
4.757293 5.904537e-05 1.0755076502732241 0.9901751660794829
4.732386 5.933984e-05 1.080871402550091 0.9951133497364812
4.707604 5.75419e-05 1.0481220400728597 0.9649623736633199
4.682414 6.013027e-05 1.0952690346083789 1.0083686508129959
4.657414 5.996445e-05 1.0922486338797814 1.0055878934726779
4.632099 5.917826e-05 1.0779282331511841 0.9924036960695617
4.60735 5.993728e-05 1.0917537340619308 1.0051322597919612
4.582469 5.896638e-05 1.0740688524590163 0.9888505247677488
4.557302 5.90932e-05 1.0763788706739525 0.9909772624706745
4.5324409999999995 6.063957e-05 1.1045459016393442 1.016909476487969
4.507312 5.870937e-05 1.069387431693989 0.984540535357333
4.482126 5.964747e-05 1.0864748633879782 1.0002722230967638
4.4571819999999995 5.838251e-05 1.0634336976320582 0.979059180006613
4.432099 5.812867e-05 1.0588100182149363 0.9748023506539031
4.407255 5.864899e-05 1.0682876138433515 0.9835279788007751
4.382479 5.955526e-05 1.0847952641165755 0.9987258858976881
4.357312 5.936409e-05 1.0813131147540984 0.995520015793065
4.332229 5.903926e-05 1.0753963570127505 0.990072703002958
4.307145 5.939018e-05 1.0817883424408015 0.9959575381607462
4.282191 5.797758e-05 1.0560579234972676 0.9722686114997077
4.257293 5.913363e-05 1.077115300546448 0.9916552628281046
4.232386 6.022826e-05 1.0970539162112931 1.01001191707628
4.207229 5.955978e-05 1.0848775956284153 0.9988016850966885
4.182148 5.945002e-05 1.0828783242258653 0.9969610390607863
4.156931999999999 5.846793e-05 1.064989617486339 0.9804916507098453
4.1320429999999995 5.941651e-05 1.082267941712204 0.9963990852646575
4.106812 6.027782e-05 1.0979566484517305 1.010843025107797
4.081932 5.908226e-05 1.0761795992714025 0.990793801577519
4.05659 5.918599e-05 1.0780690346083788 0.9925333261156397
4.0317289999999995 5.939672e-05 1.0819074681238614 0.9960672122230165
4.006682 5.883633e-05 1.0717 0.9866696208230596
3.98171 5.945456e-05 1.0829610200364297 0.9970371736544723
3.956896 5.940773e-05 1.0821080145719488 0.9962518469975726
3.9319140000000004 5.991886e-05 1.0914182149362475 1.0048233612863002
3.9066729999999996 5.951422e-05 1.084047723132969 0.9980376560023397
3.88158 5.808966e-05 1.0580994535519126 0.9741481633191678
3.856738 5.875023e-05 1.070131693989071 0.9852257467005087
3.83184 5.935901e-05 1.08122058287796 0.9954348255428611
3.806729 5.97666e-05 1.0886448087431693 1.002270001542983
3.781793 5.944913e-05 1.0828621129326048 0.9969461139972663
3.7566729999999997 5.888575e-05 1.0726001821493623 0.9874983810917757
3.731757 5.947391e-05 1.0833134790528234 0.9973616680130248
3.7069050000000003 5.841741e-05 1.0640693989071037 0.9796444437334076
3.6817930000000003 5.937304e-05 1.0814761384335154 0.9956701049149793
3.656997 5.893891e-05 1.0735684881602916 0.9883898601667446
3.63196 5.903957e-05 1.0754020036429872 0.9900779016205885
3.606997 5.924806e-05 1.079199635701275 0.9935742235231511
3.581951 5.877296e-05 1.070545719489982 0.9856069227609684
3.5567379999999997 5.976892e-05 1.088687067395264 1.0023089073265408
3.531895 5.923723e-05 1.0790023679417122 0.9933926073007676
3.506775 5.921192e-05 1.0785413479052823 0.9929681653258341
3.481553 5.832417e-05 1.0623710382513663 0.9780808337080111
3.456525 5.896766e-05 1.0740921675774133 0.9888719900276427
