Keff(MJ/m3):0.025523228432596475 Ms(MA/m):1.160308976736345
H(kOe) moment(emu) M(MA/m) M_norm()
9.972742 6.919386e-05 1.1664507754551587 1.0052932441633684
9.949272 6.873559e-05 1.1587253877275794 0.998635200588364
9.925606 6.926239e-05 1.1676060350640594 1.006288892419189
9.902218000000001 6.867719e-05 1.1577408968307485 0.9977867275380219
9.878412 6.97912e-05 1.17652056641942 1.01397178683274
9.854254999999998 6.914351e-05 1.1656019892110587 1.0045617267304106
9.829941000000002 6.927896e-05 1.1678853674983143 1.0065296321185755
9.805385 6.936889e-05 1.1694013823331086 1.0078361934442135
9.781172 6.797989e-05 1.145986008091706 0.9876559012023453
9.756699000000001 6.747173e-05 1.1374195886716116 0.9802730233725196
9.732391 6.893814e-05 1.1621399190829402 1.001577978265535
9.707885000000001 6.837725e-05 1.1526845920431559 0.9934290048202206
9.682773 6.887002e-05 1.160991571139582 1.000588286755444
9.658031999999999 6.889272e-05 1.1613742414025623 1.00091808706782
9.633385 6.950027e-05 1.171616149696561 1.0097449672345207
9.60844 7.034134e-05 1.1857946729602158 1.0219645773107398
9.583421 6.901627e-05 1.1634570128118678 1.0027131015433297
9.55881 6.891695e-05 1.1617827039784223 1.0012701162118234
9.533486 6.908271e-05 1.1645770397842212 1.003678384924575
9.508773 6.858404e-05 1.156170600134862 0.99643338396543
9.483838 6.806429e-05 1.1474087997302767 0.988882119103867
9.458616 6.867861e-05 1.157764834794336 0.9978073582183555
9.434042 6.699264e-05 1.129343223196224 0.9733124933436093
9.409329 6.901401e-05 1.1634189143627782 1.0026802667985735
9.384162 6.902197e-05 1.1635531018206338 1.0027959148376269
9.359015 6.934249e-05 1.1689563385030344 1.0074526371337849
9.334098 6.84076e-05 1.1531962238705327 0.9938699492907322
9.309031999999998 6.901681e-05 1.1634661159811193 1.0027209470133156
9.284189 6.911007e-05 1.1650382670262982 1.0040758887372012
9.259060999999999 6.876686e-05 1.1592525286581257 0.9990895114151481
9.234041999999999 6.850397e-05 1.154820802427512 0.995270075110278
9.208921 6.700961e-05 1.1296292987188132 0.9735590445022446
9.184014 6.964468e-05 1.1740505731625086 1.0118430493098614
9.158885 7.046497e-05 1.1878787929871881 1.0237607540780989
9.134041999999999 7.040289e-05 1.1868322656776804 1.022858815602667
9.109227 6.859194e-05 1.1563037761294674 0.9965481602855962
9.084050999999999 7.007606e-05 1.1813226567768038 1.0181104175368572
9.058829 6.821472e-05 1.1499447066756574 0.9910676636409039
9.033940000000001 6.84672e-05 1.1542009440323668 0.994735856718821
9.009088 6.978601e-05 1.1764330748482805 1.0138963831489853
8.984209 6.817804e-05 1.1493263654753878 0.9905347528277781
8.959076999999999 6.804401e-05 1.1470669251517196 0.9885874781199468
8.933745 6.833718e-05 1.1520091031692516 0.9928468418899602
8.908728 6.86057e-05 1.156535738368173 0.9967480744837591
8.883929 6.8954e-05 1.1624072825354013 1.0018084026247545
8.858931 6.95381e-05 1.1722538772757922 1.010294585992987
8.834061 6.945249e-05 1.1708106877950102 1.0090507884272375
8.809059999999999 6.964501e-05 1.1740561362103845 1.0118478437637417
8.784115 7.093202e-05 1.1957521915037088 1.0305463591836173
8.759032999999999 6.789121e-05 1.144491065407957 0.9863675006868602
8.733968 6.954454e-05 1.1723624409979772 1.0103881504868946
8.709135 7.101758e-05 1.1971945380984492 1.0317894303169606
8.683922 6.826628e-05 1.1508138907619692 0.9918167607380896
8.659106 6.911528e-05 1.1651260957518543 1.0041515829939183
8.634060999999999 6.813168e-05 1.1485448415374242 0.9898612047008285
8.609366 6.804997e-05 1.1471673971679028 0.9886740688627557
8.583995000000002 6.958281e-05 1.1730075859743763 1.010944161850535
8.558939 6.92423e-05 1.1672673634524613 1.0059970118784123
8.534125 6.824215e-05 1.1504071139581928 0.9914661844588984
8.508931 7.001285e-05 1.1802570802427512 1.0171920616890469
8.483931 6.915053e-05 1.1657203304113284 1.0046637178402291
8.458801 6.907673e-05 1.1644762306136212 1.0035915036088037
8.433662 6.865344e-05 1.15734052596089 0.9974416721451173
8.408875 6.913188e-05 1.1654059339177345 1.0043927585527483
8.383875 6.876329e-05 1.1591923465947405 0.9990376441413515
8.358902 6.856408e-05 1.1558341200269724 0.996143392148909
8.333819 7.058976e-05 1.1899824679703304 1.0255737840772803
8.309051 6.703708e-05 1.130092380310182 0.973958146466164
8.283875 6.892948e-05 1.161993931220499 1.0014521601727957
8.258958 7.022182e-05 1.18377983816588 1.020228113287163
8.233885 6.935835e-05 1.1692237019554956 1.0076830614930046
8.208746 6.863231e-05 1.1569843223196223 0.9971346818102932
8.183837 6.918008e-05 1.1662184760620364 1.0050930393922428
8.158875 6.955126e-05 1.1724757248819961 1.0104857830022766
8.133652 6.914137e-05 1.1655659136884695 1.004530635423429
8.108542 6.869151e-05 1.1579822993931224 0.9979947777791333
8.083569 6.951168e-05 1.1718084962913016 1.009910739109596
8.058773 6.866342e-05 1.1575087660148349 0.9975866680533779
8.033616 6.971542e-05 1.1752430883344571 1.0128708058780325
8.008727 6.78448e-05 1.1437086985839515 0.9856932261275043
7.983637 6.8364e-05 1.152461227242077 0.9932365002326
7.958819 6.895712e-05 1.16245987862441 1.001853732006896
7.933523 7.024876e-05 1.1842339851652057 1.0206195150675776
7.908616 6.879251e-05 1.1596849291975726 0.9994621712394849
7.8835690000000005 6.838653e-05 1.1528410316925153 0.9935638306747956
7.858486 6.872991e-05 1.15862963587323 0.9985526778670293
7.833684 6.969329e-05 1.1748700269723535 1.0125492868950863
7.80857 6.945225e-05 1.1708066419420096 1.009047301551688
7.783448999999999 6.831683e-05 1.1516660485502361 0.9925511839006715
7.758504 6.894449e-05 1.1622469656102496 1.0016702351811115
7.7333940000000005 6.906058e-05 1.1642039784221174 1.0033568659416288
7.7084399999999995 6.823906e-05 1.150355023600809 0.9914212909362005
7.683301 6.933681e-05 1.1688605866486852 1.0073701144124505
7.658023 6.944733e-05 1.1707237019554957 1.0089758206029265
7.633116 6.97789e-05 1.1763132164531358 1.013793084460836
7.607995 7.015517e-05 1.1826562710721509 1.019259778889812
7.583118000000001 7.022145e-05 1.1837736008091706 1.0202227376873576
7.558523 6.829049e-05 1.1512220161834121 0.9921684993091302
7.53344 6.976967e-05 1.176157619689818 1.013658985038667
