Keff(MJ/m3):0.018491319685824868 Ms(MA/m):1.267579365299335
H(kOe) moment(emu) M(MA/m) M_norm()
9.972552 6.812249e-05 1.076734766602153 0.9930190158923916
9.949082 6.875711e-05 1.0867654835882916 1.0022698481486059
9.92549 6.773984e-05 1.0706866529991372 0.9874411410021576
9.901924999999999 6.903498e-05 1.0911574588316473 1.0063203488561698
9.878172000000001 6.987427e-05 1.1044231618654254 1.0185546481286762
9.854249 6.85043e-05 1.082769603279972 0.9985846461337095
9.829934999999999 6.798169e-05 1.074509301045366 0.9909665795026231
9.805577999999999 6.851087e-05 1.0828734478020468 0.9986804167805902
9.780989 6.647621e-05 1.0507138899201383 0.9690212532521341
9.756842 6.669399e-05 1.0541560908360268 0.9721958242532973
9.732211999999999 6.872882e-05 1.0863183357147013 1.0018574658654626
9.707657 6.799946e-05 1.0747901712367303 0.9912256121350533
9.682685 6.704921e-05 1.0597706496079158 0.9773738530485646
9.658005999999999 6.88837e-05 1.0887663478271674 1.0041151458942084
9.633229 6.851336e-05 1.082912804401737 0.9987167134184489
9.608360000000001 6.747842e-05 1.066554684207551 0.9836304313358698
9.583499 6.86709e-05 1.0854028601106596 1.0010131681687626
9.558656999999998 7.053796e-05 1.1149133552985515 1.0282292326991702
9.533536 7.04993e-05 1.1143023006222348 1.0276656873097636
9.508935 6.941916e-05 1.0972297554055572 1.011920526499787
9.484019 6.646242e-05 1.050495927064825 0.9688202369324259
9.458924999999999 6.847282e-05 1.0822720347023609 0.9981257633386107
9.433935 6.874361e-05 1.086552104433344 1.0020730591481664
9.408953 6.837789e-05 1.0807715840964958 0.9967419722414465
9.383806 6.833835e-05 1.0801466202604493 0.9961655991246039
9.358787 6.835883e-05 1.0804703243414364 0.9964641353267519
9.333935 6.90523e-05 1.0914312163845135 1.006572821855252
9.309087 6.941651e-05 1.097187869867734 1.0118818975478487
9.284369 6.756661e-05 1.0679486032945757 0.9849159737024443
9.25925 6.903149e-05 1.0911022963686277 1.0062694752553156
9.234314 7.040468e-05 1.1128067498340015 1.0262864150711277
9.209092 6.82891e-05 1.0793681814914737 0.9954476836970747
9.184073 6.946993e-05 1.0980322190867937 1.0126605989110695
9.159088 6.818197e-05 1.0776748993529892 0.9938860536513651
9.133889 6.906473e-05 1.0916276832656986 1.0067540135052864
9.108925 6.768746e-05 1.0698587418779404 0.9866775996804524
9.083943 7.004933e-05 1.10719013629988 1.0211064912706713
9.058823 6.851557e-05 1.082947735359695 0.998748928506669
9.033907 7.013389e-05 1.1085266801030182 1.0223391192615718
9.008796 6.832877e-05 1.0799952000897528 0.9960259518191066
8.983805 6.74297e-05 1.06578462254614 0.9829202416987284
8.95899 6.822922e-05 1.0784217263953058 0.994574815152903
8.934036 7.10022e-05 1.1222510692906174 1.0349964420002082
8.908823 6.886433e-05 1.0884601882544762 1.0038327901209854
8.884063 6.879462e-05 1.0873583615217792 1.0028166300305674
8.858897 7.063541e-05 1.1164536366800069 1.0296497577430832
8.83398 6.841341e-05 1.0813330083619581 0.9972597459670471
8.809147000000001 6.93315e-05 1.0958442134260973 1.0106427099236002
8.783788000000001 6.768886e-05 1.0698808700866016 0.9866980074286462
8.758759 6.984382e-05 1.1039418733270436 1.018110779605463
8.733787 6.989752e-05 1.1047906481878351 1.018893562518322
8.708936 6.970008e-05 1.1016699385320678 1.0160154869444875
8.683999 6.922376e-05 1.0941412897109817 1.0090721879304632
8.659184999999999 6.858788e-05 1.0840906573370481 0.9998029887008748
8.634221 6.983016e-05 1.103725965233963 1.017911658290944
8.609036 6.943625e-05 1.0974998776098577 1.0121696467973804
8.583926 7.000419e-05 1.106476659629188 1.0204484871610535
8.558823 6.890417e-05 1.0890898938495213 1.0044135363267264
8.534045 6.898381e-05 1.090348672805079 1.0055744456596893
8.509046 6.802499e-05 1.0751936949275311 0.9915977620003289
8.483972 6.839753e-05 1.0810820112522863 0.9970282637946782
8.458843 6.821708e-05 1.0782298432144863 0.9943978508221377
8.433769 6.940786e-05 1.0970511491499344 1.0117558068179378
8.408961999999999 6.737617e-05 1.0649385346821143 0.9821399368695783
8.383712 6.906231e-05 1.0915894330764415 1.0067187372548374
8.35899 6.920818e-05 1.093895034360309 1.0088450788469934
8.333962999999999 6.710169e-05 1.0606001413154456 0.9781388520665693
8.309009 6.975746e-05 1.1025768789699117 1.01685191308117
8.283681 6.89052e-05 1.0891061738887509 1.004428550598612
8.258897000000001 6.883988e-05 1.0880737348960707 1.0034763833757447
8.233832 6.900369e-05 1.0906628933680687 1.0058642356840402
8.208906 6.855041e-05 1.0834984116380935 0.9992567898974328
8.183463 6.671892e-05 1.0545501310088303 0.9725592279407758
8.158639 6.884758e-05 1.0881954400437075 1.0035886259908102
8.133454 6.700617e-05 1.0590903652502162 0.9767464605612376
8.108398 6.904424e-05 1.091303821126078 1.0064553315335083
8.083426000000001 6.871555e-05 1.0861085919083198 1.0016640295665125
8.058268 6.913635e-05 1.092759699197354 1.0077980155950252
8.033564 6.992585e-05 1.1052384282959586 1.0193065278799849
8.008592 6.904043e-05 1.0912436007867932 1.0063997933044957
7.983518 6.817645e-05 1.0775876509874103 0.9938055888156296
7.9584719999999995 6.754336e-05 1.0675811169721658 0.9845770593127986
7.9335 6.957162e-05 1.099639517328766 1.0141429302780836
7.908564 6.84681e-05 1.082197431027446 0.9980569600732719
7.883471999999999 6.999429e-05 1.1063201815822268 1.0203041752273982
7.858444 6.84101e-05 1.0812806909543375 0.9972114962195319
7.833518 6.732421e-05 1.0641172620235158 0.9813825178723313
7.808203000000001 6.835659e-05 1.0804349192075784 0.9964314829296418
7.783379 7.011569e-05 1.1082390133904223 1.0220738185350535
7.758416 7.00797e-05 1.1076701603691954 1.021549193636845
7.733537 6.803223e-05 1.0753081293780367 0.9917032992124165
7.708528 6.789271e-05 1.0731028953263109 0.9896695213352821
7.683537 6.77749e-05 1.071240806567468 0.9879522093247805
7.658305 6.875241e-05 1.0866911960306431 1.0022013364225268
7.63337 6.831221e-05 1.079733454993017 0.9957845573119009
7.608444 6.856796e-05 1.0837758045395254 0.9995126155980041
7.583463 7.036835e-05 1.1122325228192422 1.0257568340055006
7.558694 6.905071e-05 1.0914060850618195 1.0065496444840891
7.533481 6.899801e-05 1.0905731160643573 1.0057814385342256
7.508213 6.859229e-05 1.084160361194331 0.999867273107685
7.4833609999999995 6.806792e-05 1.0758722406402645 0.9922235510217263
7.458379 6.826845e-05 1.0790417904137204 0.9951466694112172
7.433407 6.992713e-05 1.1052586598010206 1.0193251863926194
7.408315 6.950734e-05 1.0986235164339486 1.0132059230967316
7.383527 7.041579e-05 1.1129823529755916 1.0264483651300078
7.358295 6.865832e-05 1.0852040223499748 1.0008297899742788
7.333389 6.652798e-05 1.051532159464704 0.9697759026264118
7.308231 6.757218e-05 1.0680366419533207 0.9849971673863294
7.283444 6.882419e-05 1.0878257409004315 1.0032476708263451
7.258556 6.7681e-05 1.0697566360008322 0.9865834324995015
7.233611 6.909407e-05 1.092091427295785 1.007181701599575
7.20874 6.995226e-05 1.1056558611464897 1.0196915054726967
7.183287999999999 7.067375e-05 1.117059633480058 1.0302086385043312
7.157832999999999 6.854002e-05 1.0833341887181005 0.9991053352519096
7.132972 6.883714e-05 1.0880304268305478 1.003436442497137
7.108055 6.829888e-05 1.0795227628348356 0.9955902463951707
7.082954 6.722634e-05 1.0625703421794621 0.9799558705039603
7.058231 6.845159e-05 1.0819364762238766 0.9978162944142158
7.032871 6.950057e-05 1.098516510739208 1.013107237057252
7.008125 6.702209e-05 1.059341994594421 0.9769785258121262
6.983426000000001 6.966666e-05 1.1011417065795974 1.0155283248411773
6.958203999999999 6.725074e-05 1.062956005244701 0.9803115484010508
6.933083 6.915624e-05 1.0930740778189771 1.0080879513890062
6.908176 7.025671e-05 1.1104679562371422 1.0241294618566814
6.882685 6.844004e-05 1.0817539185024216 0.9976479304916178
6.857889 6.920377e-05 1.093825330503026 1.008780794440183
6.832769 6.966946e-05 1.10118596299692 1.0155691403375648
6.807981 7.001862e-05 1.106704738237032 1.020658832737079
6.783068 6.913221e-05 1.0926942629231702 1.0077376669682239
6.757916 6.900863e-05 1.0907409743329162 1.005936245881238
6.732832999999999 6.960014e-05 1.100090300550922 1.0145586652627154
6.707814999999999 6.686482e-05 1.0568562064685978 0.9746860068418215
6.682965 6.819262e-05 1.0778432317974478 0.9940412983072673
6.657953 6.860292e-05 1.0843283775215231 1.0000222262243275
6.633037 6.950666e-05 1.0986127684468847 1.013196010761895
6.607824 6.818776e-05 1.0777664153016666 0.993970454267109
6.582833 6.973976e-05 1.1022971151889807 1.0165939008361495
6.557639 6.802027e-05 1.075119091252616 0.9915289587349899
