Keff(MJ/m3):0.002395375375388656 Ms(MA/m):1.2141531007751936
H(kOe) moment(emu) M(MA/m) M_norm()
9.972059 7.186397e-05 1.2352218154316847 1.0173526012848295
9.948941000000001 7.091264e-05 1.218870039017515 1.0038849616570678
9.925423 7.146911e-05 1.228434830437099 1.011762709046155
9.901885 7.074028e-05 1.2159074580174976 1.001444922589403
9.878018 7.183431e-05 1.2347120094879593 1.0169327152396512
9.854016 7.14002e-05 1.2272503824403993 1.0107871747449673
9.829728999999999 7.150648e-05 1.229077158424861 1.01229174281245
9.805200000000001 7.033255e-05 1.2088992591828664 0.9956728343493315
9.780715 7.000081e-05 1.203197201739459 0.9909765094461814
9.756450000000001 7.047886e-05 1.2114140841196994 0.9977440928547271
9.732055 7.124719e-05 1.2246203956754154 1.0086210667283548
9.707349 7.241916e-05 1.2447646057855926 1.0252122281702816
9.682293 6.97221e-05 1.198406641571701 0.9870309113459916
9.657663000000001 6.965476e-05 1.1972491792571203 0.9860776029750443
9.6328 7.102307e-05 1.2207681465820999 1.0054482797949311
9.608469 6.97716e-05 1.199257464033414 0.9877316651975199
9.583533 7.115438e-05 1.223025146530535 1.0073071886483485
9.558459000000001 7.17631e-05 1.2334880283263718 1.0159246206584933
9.533237 6.983693e-05 1.2003803777995494 0.9886565187151022
9.508432 6.90643e-05 1.187100156413826 0.9777186712745739
9.483687 7.045288e-05 1.2109675312397945 0.9973763032575009
9.458756 6.971447e-05 1.1982754945942693 0.9869228961563522
9.433857 6.780922e-05 1.1655274239845992 0.9599509511942534
9.409023999999999 7.034365e-05 1.2090900496742811 0.9958299730917956
9.383636000000001 7.063588e-05 1.2141129960982482 0.9999669690116348
9.358626000000001 7.024747e-05 1.2074368758486738 0.9944683871233111
9.333793 7.035672e-05 1.2093147011808383 0.9960150004218857
9.309083000000001 7.058039e-05 1.213159215524502 0.9991814168657502
9.284136 7.03096e-05 1.2085047869506178 0.9953479393818049
9.259053 7.011802e-05 1.2052118461988 0.9926358096267391
9.233793 7.131787e-05 1.2258352670207462 1.0096216582884763
9.208812 6.989992e-05 1.201463070867495 0.9895482456869761
9.183648999999999 6.978687e-05 1.199519929871603 0.9879478371432338
9.158755999999999 6.947282e-05 1.1941219340311795 0.9835019432629832
9.13358 7.036931e-05 1.2095311022877668 0.9961932325631128
9.108885 6.910276e-05 1.1877612196840783 0.9782631357822461
