Keff(MJ/m3):0.19073802070361123 Ms(MA/m):1.2016358749803795
H(kOe) moment(emu) M(MA/m) M_norm()
9.967488 5.696951e-05 1.2149794153375784 1.0111044790148402
9.939229 5.6643e-05 1.2080159900088039 1.0053095244252161
9.910543 5.655691e-05 1.2061799626695058 1.003781584574612
9.882200999999998 5.685815e-05 1.2126044588443243 1.0091280429390677
9.852896000000001 5.670852e-05 1.209413324324878 1.006472384443936
9.824002 5.664082e-05 1.2079694975056134 1.0052708334172675
9.79484 5.692054e-05 1.2139350401626985 1.010235351189494
9.765646 5.672613e-05 1.209788889912577 1.0067849296962201
9.736238 5.639931e-05 1.2028188532645419 1.000984473174273
9.706868 5.677795e-05 1.210894046570986 1.0077046398026006
9.677209999999999 5.683082e-05 1.2120215964075371 1.0086429854862042
9.647523999999999 5.659354e-05 1.2069611646841243 1.0044316999971659
9.617637 5.659266e-05 1.2069423970681574 1.0044160816086358
9.588127 5.677315e-05 1.2107916777566214 1.007619448592438
9.558512 5.654019e-05 1.2058233779661367 1.0034848351925458
9.528663 5.647628e-05 1.2044603798565472 1.002350549725568
9.498738 5.680023e-05 1.2113692084843275 1.0081000690031054
9.46884 5.686041e-05 1.2126526574944212 1.0091681538005193
9.439034 5.653249e-05 1.205659161326427 1.0033481742929098
9.408913 5.69304e-05 1.2141453227688719 1.010410348133703
9.378933000000002 5.691143e-05 1.2137407526837691 1.0100736653718727
9.349081 5.670128e-05 1.2092589180298783 1.0063438877019408
9.319137000000001 5.664485e-05 1.2080554446560068 1.0053423585374663
9.28934 5.668918e-05 1.2090008633103346 1.0061291348596557
9.259173 5.669273e-05 1.2090765735792919 1.0061921408588388
9.229460999999999 5.661199e-05 1.2073546448143373 1.0047591537112281
9.199024999999999 5.686679e-05 1.2127887227101806 1.0092813871173605
9.169128 5.670537e-05 1.2093461447904512 1.0064164777122668
9.138887 5.637003e-05 1.2021944034969188 1.000464806792281
9.1091 5.672504e-05 1.2097656436609818 1.0067655841922456
9.079332 5.689324e-05 1.2133528175310009 1.009750826181694
9.049154 5.667029e-05 1.208597999372138 1.0057938719513282
9.019257 5.671212e-05 1.2094901009356511 1.0065362778515579
8.989404 5.666214e-05 1.2084241856560818 1.0056492243757396
8.959025 5.645032e-05 1.2039067351855264 1.0018898072639386
8.929331 5.6673e-05 1.2086557950985812 1.0058419694887324
8.8991 5.683997e-05 1.2122167369599195 1.0088053812305768
8.869043 5.670285e-05 1.2092924011629098 1.0063717523269313
8.839053 5.67662e-05 1.2106434562441566 1.0074960988193902
8.809071 5.673589e-05 1.209997039835118 1.0069581518235506
8.779164000000002 5.671004e-05 1.209445741116093 1.0064993616604874
8.749087 5.641161e-05 1.2030811733513505 1.0012027756503146
