Keff(MJ/m3):-0.005638181983327493 Ms(MA/m):1.226075623219373
H(kOe) moment(emu) M(MA/m) M_norm()
9.971921 6.985279e-05 1.2438174857549855 1.0144704471727664
9.948754000000001 6.881767e-05 1.2253858618233615 0.9994374234484815
9.925042 6.932328e-05 1.2343888888888888 1.0067803857381057
9.901394 6.996694e-05 1.2458500712250709 1.016128244972178
9.877513 6.967368e-05 1.240628205128205 1.0118692368017401
9.853224 6.917649e-05 1.2317751068376064 1.0046485579766018
9.829041 6.95077e-05 1.2376727207977205 1.0094587131158324
9.804681 6.959436e-05 1.2392158119658117 1.010717274283568
9.780263999999999 6.892854e-05 1.2273600427350424 1.0010475858840557
9.756032 6.910996e-05 1.2305904558404557 1.0036823443314433
9.731439 6.955406e-05 1.238498219373219 1.0101319983193429
9.706781999999999 6.915903e-05 1.231464209401709 1.0043949868020268
9.681893 6.921188e-05 1.2324052706552704 1.0051625261248383
9.657306 6.974639e-05 1.2419228988603985 1.012925202443398
9.632504 6.949362e-05 1.237422008547008 1.009254229602773
9.607531999999999 6.900416e-05 1.2287065527065524 1.0021458133881427
9.582763000000002 6.958349e-05 1.2390222578347576 1.0105594095259718
9.558078 6.908926e-05 1.2302218660968658 1.0033817187121017
9.532939 6.868222e-05 1.2229740028490026 0.9974702862436605
9.508227000000002 6.946227e-05 1.2368637820512818 1.008798934280727
9.483023 6.949795e-05 1.2374991096866095 1.0093171140922297
9.458115 6.905961e-05 1.22969391025641 1.0029511124505812
9.433181000000001 6.923169e-05 1.2327580128205124 1.0054502262948457
9.408493 6.950811e-05 1.237680021367521 1.0094646675363121
9.383356 6.884446e-05 1.2258628917378915 0.9998264939964119
9.358248 6.871538e-05 1.2235644586894583 0.9979518681536779
9.333342 6.923076e-05 1.2327414529914527 1.0054367199264405
9.308361000000001 6.930486e-05 1.2340608974358973 1.006512872505822
9.283522999999999 6.902403e-05 1.2290603632478627 1.0024343849367567
9.258227000000002 6.944977e-05 1.2366412037037036 1.00861739707098
9.233456 6.969881e-05 1.2410756766381763 1.0122341992082158
9.208433000000001 6.874652e-05 1.2241189458689457 0.9984041136506004
9.183264 6.868687e-05 1.2230568019943018 0.9975378180856866
9.15831 6.95495e-05 1.2384170227920224 1.0100657735452272
