Keff(MJ/m3):-0.02093016053938726 Ms(MA/m):1.22421520609319
H(kOe) moment(emu) M(MA/m) M_norm()
9.967122 3.459574e-05 1.2399906810035841 1.0128861942180396
9.938799000000001 3.430098e-05 1.2294258064516128 1.0042562780894149
9.910625 3.445452e-05 1.2349290322580644 1.0087515872303736
9.881829 3.391847e-05 1.215715770609319 0.9930572374517427
9.853078 3.367045e-05 1.2068261648745517 0.9857957643949454
9.823792 3.396084e-05 1.2172344086021503 0.994297736659131
9.794799000000001 3.411587e-05 1.2227910394265231 0.9988366696806426
9.765531999999999 3.463196e-05 1.2412888888888889 1.0139466351265034
9.73606 3.403835e-05 1.2200125448028671 0.9965670567810258
9.706638000000002 3.424049e-05 1.2272577060931897 1.0024852656500725
9.676765 3.427711e-05 1.2285702508960572 1.0035574176674096
9.647165999999999 3.440407e-05 1.2331207885304658 1.0072745236237477
9.617986 3.42421e-05 1.2273154121863796 1.002532402863287
9.588265 3.45751e-05 1.2392508960573476 1.0122819010001851
9.558301 3.429989e-05 1.2293867383512542 1.0042243653177354
9.528300999999999 3.420736e-05 1.226070250896057 1.0015152930576539
9.498301 3.390319e-05 1.2151681003584227 0.9926098730927881
9.468893 3.39597e-05 1.2171935483870966 0.9942643599988426
9.439005 3.418983e-05 1.2254419354838706 1.0010020537112878
9.409032 3.406487e-05 1.2209630824372757 0.9973435032993156
9.378449 3.458182e-05 1.2394917562724013 1.012478647629254
9.348751 3.434143e-05 1.230875627240143 1.005440563974212
9.318968 3.466525e-05 1.2424820788530462 1.0149212921624713
9.288921 3.41144e-05 1.22273835125448 0.9987936313555336
9.259091 3.407824e-05 1.2214422939068097 0.9977349471134007
9.229068999999999 3.40478e-05 1.2203512544802866 0.996843731728154
9.198718000000001 3.430436e-05 1.2295469534050179 1.0043552369593929
9.168958 3.427341e-05 1.2284376344086017 1.0034490899103328
9.139251 3.39611e-05 1.2172437275985661 0.9943053488798987
9.109162 3.419833e-05 1.2257465949820787 1.0012509147748425
9.079025 3.413102e-05 1.2233340501792112 0.9992802279292129
9.048949 3.467483e-05 1.2428254480286736 1.0152017732199832
9.018848 3.44039e-05 1.2331146953405014 1.0072695464024763
8.988978 3.442376e-05 1.2338265232974908 1.0078510029580283
8.958817 3.437155e-05 1.2319551971326161 1.0063224104723603
8.929125 3.445291e-05 1.2348713261648743 1.0087044500171591
8.898811 3.421515e-05 1.2263494623655913 1.0017433669029585
8.869069 3.382316e-05 1.2122996415770608 0.9902667729849927
8.839116 3.415571e-05 1.2242189964157706 1.0000030961244084
8.809069 3.456467e-05 1.2388770609318995 1.0119765338363176
8.779079 3.464055e-05 1.241596774193548 1.0141981311895543
8.749156000000001 3.380714e-05 1.2117254480286737 0.9897977430746228
8.719088 3.429583e-05 1.2292412186379926 1.004105497562673
8.688885 3.43737e-05 1.2320322580645158 1.0063853576825534
8.659006 3.420512e-05 1.225989964157706 1.001449710847964
8.629050999999999 3.376164e-05 1.2100946236559138 0.9884656044403021
8.598885000000001 3.392542e-05 1.215964874551971 0.9932607179684136
8.568885 3.424936e-05 1.2275756272401432 1.0027449594893347
8.538939000000001 3.44886e-05 1.2361505376344084 1.009749373706366
8.509236000000001 3.419893e-05 1.2257681003584227 1.001268481438152
8.479068999999999 3.425135e-05 1.2276469534050176 1.0028032222559786
8.448931 3.455388e-05 1.238490322580645 1.0116606266744643
8.418883 3.407828e-05 1.2214437275985661 0.9977361182242881
8.388895 3.392978e-05 1.2161211469534048 0.993388369055131
8.359129000000001 3.413642e-05 1.223527598566308 0.9994383278990007
8.329032 3.430941e-05 1.2297279569892472 1.0045030897089164
8.298699000000001 3.434014e-05 1.2308293906810033 1.0054027956480962
8.26877 3.406587e-05 1.2209989247311825 0.9973727810714986
8.238958 3.429345e-05 1.2291559139784944 1.0040358164648777
8.209050999999999 3.461235e-05 1.2405860215053761 1.013372498013997
8.179233 3.445899e-05 1.2350892473118278 1.0088824588720313
8.149181 3.41522e-05 1.2240931899641576 0.9999003311440464
8.118958 3.395659e-05 1.2170820788530463 0.9941733061273538
8.088866 3.431601e-05 1.229964516129032 1.0046963230053234
8.058802 3.421705e-05 1.2264175627240141 1.0017989946701058
8.028598 3.386574e-05 1.2138258064516125 0.9915134205245394
7.998755 3.422555e-05 1.2267222222222223 1.0020478557336605
7.968274 3.448183e-05 1.2359078853046594 1.0095511631886882
7.938629 3.456427e-05 1.2388627240143366 1.0119648227274445
7.908987 3.408619e-05 1.2217272401433688 0.9979677054022545
7.878866 3.422326e-05 1.2266401433691754 1.0019808096353615
7.848496 3.460785e-05 1.2404247311827956 1.0132407480391743
7.818616 3.454654e-05 1.238227240143369 1.011445727826642
7.7885789999999995 3.418841e-05 1.225391039426523 1.0009604792747884
7.758625 3.423424e-05 1.2270336917562723 1.0023022795739296
7.728681 3.412749e-05 1.2232075268817202 0.9991768773934074
7.698524 3.381878e-05 1.212142652329749 0.9901385363428316
7.6686000000000005 3.388089e-05 1.214368817204301 0.9919569787731101
7.638403 3.406706e-05 1.2210415770609317 0.9974076216203963
7.608274000000001 3.444382e-05 1.2345455197132615 1.008438315068017
7.578487 3.453653e-05 1.2378684587813618 1.0111526573270915
7.548588 3.432204e-05 1.23018064516129 1.004872867971586
7.518625 3.40739e-05 1.2212867383512542 0.997607881582127
7.488689999999999 3.439322e-05 1.232731899641577 1.0069568597955634
7.458598 3.417398e-05 1.2248738351254478 1.0005380010221894
7.428848 3.393979e-05 1.216479928315412 0.9936814395546816
7.3987039999999995 3.413633e-05 1.2235243727598566 0.9994356928995042
7.368875 3.41021e-05 1.2222974910394264 0.9984335147576843
7.338680999999999 3.395725e-05 1.2171057347670249 0.9941926294569945
7.308644 3.418581e-05 1.2252978494623654 1.0008843570671129
7.2783940000000005 3.41486e-05 1.223964157706093 0.9997949311641879
7.248676000000001 3.419662e-05 1.225685304659498 1.0012008497844096
7.21882 3.41859e-05 1.225301075268817 1.0008869920666092
7.188486 3.448927e-05 1.2361745519713259 1.0097689898137285
7.158346 3.46341e-05 1.2413655913978494 1.0140092895589747
7.128496 3.441705e-05 1.2335860215053762 1.0076545491066813
7.0984679999999996 3.415987e-05 1.2243681003584228 1.0001248916566892
7.068311 3.434628e-05 1.2310494623655912 1.005582561169299
7.038402 3.445242e-05 1.2348537634408598 1.0086901039087894
7.008209 3.438185e-05 1.2323243727598565 1.006623971525844
6.978329 3.415492e-05 1.224190681003584 0.9999799666843838
6.948384 3.402035e-05 1.2193673835125447 0.996040056881734
6.918144 3.397762e-05 1.2178358422939066 0.9947890176763597
6.888180999999999 3.424412e-05 1.2273878136200715 1.0025915439630964
6.857978 3.397485e-05 1.2177365591397846 0.9947079182474131
6.828265 3.404167e-05 1.2201315412186378 0.9966642589846729
6.798366 3.417591e-05 1.224943010752688 1.0005945071225024
6.768246 3.411123e-05 1.2226247311827956 0.9987008208177139
6.738053 3.415026e-05 1.2240236559139783 0.9998435322660115
6.708329 3.402824e-05 1.2196501792114696 0.9962710585042571
6.67819 3.431346e-05 1.2298731182795697 1.0046216646862571
6.648101 3.458216e-05 1.2395039426523295 1.012488602071796
6.618264 3.463377e-05 1.2413537634408598 1.0139996278941543
6.588348 3.464132e-05 1.2416243727598564 1.0142206750741352
6.557958999999999 3.431679e-05 1.2299924731182794 1.0047191596676261
6.528129 3.417555e-05 1.2249301075268815 1.0005839671245165
6.498181 3.432728e-05 1.2303684587813617 1.0050262834978243
6.468237 3.425418e-05 1.227748387096774 1.002886078351256
6.438162999999999 3.410923e-05 1.2225530465949817 0.998642265273348
6.40782 3.414087e-05 1.2236870967741933 0.9995686139852143
6.377616 3.431044e-05 1.2297648745519711 1.0045332458142648
6.347866 3.438041e-05 1.2322727598566308 1.0065818115339007
6.317783 3.421302e-05 1.2262731182795696 1.0016810052482088
6.287783 3.435665e-05 1.2314211469534049 1.0058861716668355
6.257893 3.434206e-05 1.2308982078853046 1.0054590089706874
6.22832 3.444491e-05 1.23458458781362 1.0084702278396962
6.198227 3.44931e-05 1.236311827956989 1.009881123681189
6.1684030000000005 3.417454e-05 1.2248939068100355 1.0005543965746118
6.138357 3.414422e-05 1.223807168458781 0.9996666945220268
6.108199 3.396328e-05 1.2173218637992829 0.9943691744232572
6.078292 3.423485e-05 1.2270555555555553 1.0023201390149612
6.0479769999999995 3.417053e-05 1.2247501792114694 1.0004369927081587
6.0180240000000005 3.428039e-05 1.2286878136200714 1.0036534487601694
5.987996 3.423244e-05 1.2269691756272398 1.0022495795840003
5.9580910000000005 3.434295e-05 1.2309301075268815 1.0054850661879302
5.9279399999999995 3.441413e-05 1.2334813620071683 1.0075690580119074
5.897838 3.466209e-05 1.242368817204301 1.0148287744023734
5.868035 3.411324e-05 1.2226967741935482 0.9987596691398015
5.8382830000000006 3.421507e-05 1.2263465949820787 1.0017410246811838
5.8082460000000005 3.423159e-05 1.2269387096774191 1.0022246934776449
5.777699999999999 3.416505e-05 1.2245537634408599 1.0002765505165963
5.747828999999999 3.394951e-05 1.2168283154121862 0.9939660195002991
5.7179780000000004 3.389415e-05 1.2148440860215053 0.9923452020322551
5.688153000000001 3.400575e-05 1.2188440860215053 0.9956126014078641
5.658005 3.412414e-05 1.2230874551971325 0.9990787968565948
5.627792 3.417346e-05 1.2248551971326163 1.0005227765806544
5.597458 3.407037e-05 1.2211602150537633 0.9975045310463216
5.567699999999999 3.453425e-05 1.2377867383512544 1.0110859040065145
5.537864 3.429005e-05 1.2290340501792114 1.003936272039456
5.5079579999999995 3.416189e-05 1.2244405017921145 1.0001840327564984
5.477773 3.40912e-05 1.2219068100358421 0.998114387040891
5.447764 3.428775e-05 1.2289516129032254 1.0038689331634352
5.417505 3.441342e-05 1.2334559139784944 1.0075482707936574
5.387569999999999 3.39985e-05 1.218584229390681 0.9954003375595384
5.357751 3.41887e-05 1.225401433691756 1.0009689698287212
5.327635 3.415536e-05 1.224206451612903 0.9999928489041443
5.29719 3.415636e-05 1.2242422939068098 1.0000221266763272
5.26745 3.420234e-05 1.2258903225806448 1.0013683186412956
5.237496 3.428189e-05 1.2287415770609316 1.0036973654184436
5.207616 3.419847e-05 1.2257516129032255 1.0012550136629481
5.177551 3.404236e-05 1.2201562724014337 0.9966844606474793
5.147348 3.40492e-05 1.220401433691756 0.99688472060921
5.11728 3.407102e-05 1.2211835125448027 0.9975235615982404
5.087635000000001 3.393011e-05 1.216132974910394 0.9933980307199513
5.057496 3.371264e-05 1.20833835125448 0.987030993603341
5.027478 3.396623e-05 1.2174275985663081 0.9944555438511967
4.9975510000000005 3.412389e-05 1.2230784946236557 0.9990714774135491
4.967514 3.420098e-05 1.2258415770609317 1.0013285008711272
4.937761 3.426938e-05 1.2282931899641574 1.0033311004884358
4.908189999999999 3.406619e-05 1.2210103942652328 0.9973821499585972
4.877838 3.444235e-05 1.2344928315412182 1.0083952767429079
4.847708 3.380008e-05 1.2114724014336917 0.9895910420030118
4.817533 3.441345e-05 1.2334569892473117 1.007549149126823
4.787553 3.416734e-05 1.2246358422939065 1.000343596614895
4.757885 3.415675e-05 1.2242562724014336 1.0000335450074784
4.727792 3.394349e-05 1.216612544802867 0.9937897673117579
