Keff(MJ/m3):-0.011630072888240403 Ms(MA/m):1.2493271595828415
H(kOe) moment(emu) M(MA/m) M_norm()
9.967371 3.544801e-05 1.1375699745988155 0.9969950233092661
9.939324000000001 3.543297e-05 1.1370873226130491 0.9965720149330394
9.910741 3.546908e-05 1.1382461366560028 0.9975876287937807
9.882223 3.563798e-05 1.1436663441291373 1.0023380353592533
9.853167 3.544636e-05 1.13751702408176 0.9969486161403317
9.824111 3.539302e-05 1.1358052782758572 0.995448398933687
9.794898 3.544806e-05 1.1375715791599386 0.9969964295871128
9.765611999999999 3.533579e-05 1.1339686976145935 0.9938387733105847
9.736214 3.565822e-05 1.1443158704716843 1.0029072966315158
9.706667 3.543991e-05 1.1373100356969068 0.9967672062981335
9.677082 3.545907e-05 1.1379249035191994 0.9973060919689116
9.647482 3.554331e-05 1.1406282680990505 0.9996753888846927
9.617954 3.554082e-05 1.1405483609551303 0.9996053562479369
9.588278 3.558718e-05 1.1420361100282774 1.0009092570672107
9.558271000000001 3.572917e-05 1.1465927427050704 1.0049028048956976
9.528444 3.545396e-05 1.13776091737244 0.9971623703729996
9.498704 3.573938e-05 1.146920394086365 1.0051899668319524
9.46887 3.579321e-05 1.1486478645912725 1.006703965561493
9.438973 3.565512e-05 1.144216387682065 1.002820107405033
9.408871 3.585876e-05 1.150751444223386 1.0085475958182528
9.378884 3.56436e-05 1.1438466967993504 1.0024961009891997
9.349093 3.555062e-05 1.1408628549352176 0.9998809867058507
9.318963 3.552179e-05 1.1399376649917572 0.9990701268995597
9.289185999999999 3.593034e-05 1.1530485339269203 1.0105608231833003
9.259241 3.570683e-05 1.1458758247953615 1.0042744799538819
9.229177 3.552062e-05 1.1399001182614814 0.9990372199979516
9.199016 3.567992e-05 1.14501224999902 1.0035176212168961
9.169286 3.543296e-05 1.1370870017008248 0.9965717336774702
9.139393 3.577931e-05 1.1482017965991078 1.0063130203201662
9.10901 3.567955e-05 1.1450003762467107 1.0035072147608322
9.079084 3.554233e-05 1.140596818701042 0.9996478258389014
9.049017 3.564486e-05 1.1438871317396473 1.0025315391909315
9.019260000000001 3.582854e-05 1.149781647480709 1.007697641487829
8.98913 3.55772e-05 1.141715839628148 1.0006285640090495
8.959093999999999 3.583943e-05 1.1501311208932752 1.0080039288027964
