Keff(MJ/m3):-0.010582568080670665 Ms(MA/m):1.285495154671717
H(kOe) moment(emu) M(MA/m) M_norm()
9.9673 4.066062e-05 1.2584254634951528 0.99843174204296
9.939263 4.101173e-05 1.269292139027591 1.007053336326291
9.910438000000001 4.095743e-05 1.2676115817053517 1.0057199861807955
9.882179 4.092878e-05 1.2667248788088112 1.0050164782311006
9.853133 4.072015e-05 1.2602678866515595 0.9998935161527451
9.82392 4.080918e-05 1.2630233197712457 1.002079670175829
9.795056 4.062389e-05 1.2572886887171442 0.9975298276627748
9.765863999999999 4.019832e-05 1.2441175141384087 0.9870798493677754
9.736299 4.037215e-05 1.2494974640338938 0.9913482887009515
9.706698000000001 4.075664e-05 1.2613972335519004 1.0007895372726185
9.677301 4.066426e-05 1.258538119639774 0.9985211231576855
9.64742 4.074743e-05 1.2611121887464156 1.0005633834081615
9.618096 4.065121e-05 1.2581342287916117 0.9982006771282433
9.588374 4.056006e-05 1.2553131827525306 0.9959624659724071
9.558504000000001 4.042946e-05 1.2512711793218778 0.9927555501528547
9.528254 4.049465e-05 1.253288776593273 0.9943563069849879
9.498513 4.080968e-05 1.2630387945163861 1.0020919478014783
9.468781000000002 4.101573e-05 1.2694159369887137 1.0071515573314842
9.438930000000001 4.056758e-05 1.255545922919441 0.99614712146217
9.408883 4.05854e-05 1.2560974428362421 0.996584696040305
9.378791 4.039991e-05 1.2503566218840845 0.9920299424769911
9.348976 4.060154e-05 1.2565969676093716 0.9969810177962587
9.319094 4.066081e-05 1.258431343898306 0.9984364075407065
9.289309999999999 4.043806e-05 1.2515373449382914 0.9929667253140196
9.259169 4.076195e-05 1.2615615753452907 1.0009199256570123
9.229546000000001 4.056291e-05 1.2554013887998303 0.996032448438607
9.199281000000001 4.076819e-05 1.2617547001646419 1.0010731504251134
9.16928 4.040093e-05 1.250388190364171 0.9920549888333153
9.139226 4.049334e-05 1.2532482327610055 0.9943241396057872
9.109151 4.08585e-05 1.2645497486318875 1.0032907351698592
9.07892 4.052509e-05 1.2542308790774161 0.995103768834507
9.048900999999999 4.080957e-05 1.263035390072455 1.0020892467238351
9.019197 4.053769e-05 1.2546208426549523 0.995413165000865
8.989281 4.071011e-05 1.2599571537691419 0.9996469814297106
8.959031000000001 4.041658e-05 1.250872549887063 0.9924392785161331
8.928976 4.02782e-05 1.2465897594220265 0.9890413228414799
8.899065 4.085863e-05 1.2645537720656235 1.0032939273525276
8.869087 4.086896e-05 1.2648734803002228 1.0035475830984388
8.839179 3.998896e-05 1.237637928853252 0.9819389619559721
8.809355 4.028701e-05 1.2468624244313993 0.9892576546054178
8.779021 4.077666e-05 1.2620168423473193 1.0012811334036098
