Keff(MJ/m3):-0.010582568080670665 Ms(MA/m):1.2604020991161615
H(kOe) moment(emu) M(MA/m) M_norm()
9.967414000000002 4.04612e-05 1.2771843434343433 1.0133149923583513
9.939210999999998 4.012461e-05 1.266559659090909 1.0048853933035065
9.910729 4.040389e-05 1.2753753156565657 1.0118797140618092
9.882143 4.003496e-05 1.263729797979798 1.0026401882906812
9.853313 4.002673e-05 1.2634700126262626 1.0024340752147687
9.824461 3.972918e-05 1.2540776515151513 0.9949821984544098
9.795211 3.998573e-05 1.2621758207070706 1.0014072664526288
9.765888 4.029485e-05 1.2719333964646464 1.0091489036368402
9.736601 3.994488e-05 1.2608863636363634 1.0003842143079114
9.707091 3.994017e-05 1.2607376893939393 1.000266256520846
9.677247999999999 3.995842e-05 1.2613137626262625 1.0007233116405791
9.647609000000001 4.015166e-05 1.26741351010101 1.005562836645357
9.617934 4.047753e-05 1.2776998106060604 1.013723962775077
9.588443 3.968638e-05 1.2527266414141414 0.9939103102832005
9.558878 3.950272e-05 1.2469292929292928 0.9893107079111371
9.528999 4.037483e-05 1.2744580176767677 1.0111519320464974
9.499119 4.062081e-05 1.2822225378787877 1.0173122837370134
9.469396000000001 4.030528e-05 1.2722626262626262 1.009410113768282
9.439378000000001 4.048327e-05 1.2778809974747474 1.0138677160017764
9.409201999999999 4.044644e-05 1.2767184343434341 1.012945341203981
9.37898 4.051181e-05 1.278781881313131 1.0145824750766903
9.349257999999999 3.991272e-05 1.2598712121212121 0.9995787955325354
9.31935 4.029529e-05 1.2719472853535352 1.009159923047946
9.289462 4.039348e-05 1.2750467171717168 1.01161900481269
9.259426 4.066954e-05 1.283760732323232 1.0185326835169908
9.229545 3.991279e-05 1.2598734217171716 0.9995805486206659
9.199479 4.093373e-05 1.2921000631313129 1.0251490885625938
9.169441 4.03323e-05 1.2731155303030302 1.0100868057866486
9.139211 4.065562e-05 1.2833213383838382 1.0181840694201862
9.109331000000001 4.009718e-05 1.265693813131313 1.0041984331975187
9.079302 4.044824e-05 1.2767752525252525 1.0129904206130507
9.049341 3.963876e-05 1.2512234848484847 0.9927177094721493
9.019276 3.979258e-05 1.2560789141414141 0.9965699954183043
8.989434 4.004542e-05 1.2640599747474746 1.0029021497456074
8.959295000000001 3.991186e-05 1.2598440656565653 0.9995572575926465
8.929351 4.015123e-05 1.2673999368686866 1.0055520676754126
8.899341 3.990667e-05 1.25968023989899 0.9994272786298295
8.86935 4.035752e-05 1.2739116161616162 1.0107184183959452
8.839229 4.027202e-05 1.2712127525252523 1.0085771464651414
8.809443 4.016417e-05 1.2678083964646465 1.0058761385383908
8.779332 4.052935e-05 1.2793355429292927 1.015021748873957
8.749146000000001 4.072524e-05 1.2855189393939392 1.019927640786532
8.719359 3.963021e-05 1.2509535984848483 0.9925035822790689
8.689267 4.005522e-05 1.264369318181818 1.0031475820838751
8.659572 4.037564e-05 1.274483585858586 1.0111722177805789
8.62947 4.082208e-05 1.2885757575757575 1.022352912994474
8.599146000000001 4.036417e-05 1.2741215277777775 1.0108849617683409
8.569415000000001 3.980317e-05 1.2564131944444443 0.9968352126083301
8.539396 4.017964e-05 1.268296717171717 1.0062635710152272
8.509351 4.08656e-05 1.2899494949494947 1.023442832929311
8.479651 4.015705e-05 1.2675836489898988 1.0056978244314043
8.449563 3.971819e-05 1.253730744949495 0.9947069636179242
8.419572 4.037018e-05 1.274311237373737 1.011035476906401
8.389368000000001 4.048339e-05 1.2778847853535351 1.0138707212957143
8.359211 4.014789e-05 1.2672945075757576 1.0054684203274726
8.329267 4.017614e-05 1.2681862373737371 1.006175916608703
8.299202 4.030536e-05 1.2722651515151513 1.009412117297574
8.269095 4.054805e-05 1.2799258207070707 1.0154900738459576
8.239184 4.017077e-05 1.2680167297979796 1.006041429704979
8.209228999999999 4.019541e-05 1.2687945075757574 1.0066585167269089
8.179350000000001 3.982116e-05 1.2569810606060605 0.9972857562578641
8.149174 3.994007e-05 1.2607345328282826 1.000263752109231
8.118897 4.030962e-05 1.272399621212121 1.009518805232372
8.089128 4.025257e-05 1.2705988005050504 1.0080900384060287
8.059044 4.009466e-05 1.2656142676767674 1.0041353220248213
8.029035 4.046804e-05 1.2774002525252524 1.0134862941128158
7.999265 4.029588e-05 1.271965909090909 1.0091746990764745
7.968878 4.026826e-05 1.2710940656565657 1.0084829805884183
7.938906 4.038071e-05 1.2746436237373737 1.011299191449458
7.909063 4.063376e-05 1.282631313131313 1.0176366050411527
7.878933 4.057972e-05 1.280925505050505 1.0162832210044201
7.849127999999999 4.042605e-05 1.2760748106060604 1.0124346916756877
7.819100000000001 4.012102e-05 1.2664463383838382 1.0047954849265288
7.78898 4.051879e-05 1.2790022095959597 1.0147572830074159
7.758738999999999 4.067833e-05 1.2840381944444443 1.018752821297947
7.728878 4.066666e-05 1.2836698232323231 1.0184605564624796
7.6991000000000005 4.053228e-05 1.27942803030303 1.0150951281342757
7.668859 4.016507e-05 1.2678368055555553 1.0058986782429253
7.6388869999999995 4.035322e-05 1.2737758838383837 1.0106107286965011
7.608896 4.050163e-05 1.2784605429292928 1.0143275259742859
7.579045 3.970351e-05 1.253267361111111 0.9943393159928456
7.548769 3.982506e-05 1.2571041666666667 0.9973834283108483
7.5187740000000005 4.038961e-05 1.274924558080808 1.0115220840831907
7.488934 4.014625e-05 1.2672427398989898 1.005427347976987
7.458739 4.015224e-05 1.267431818181818 1.005577362232724
7.428702 3.979248e-05 1.2560757575757575 0.9965674910066893
7.398935000000001 3.988805e-05 1.2590924873737372 0.998960957187121
7.369014 4.029841e-05 1.27204577020202 1.0092380606903333
7.338859 4.067997e-05 1.284089962121212 1.0187938936484326
7.308969 3.964758e-05 1.2515018939393938 0.9929385985765901
7.278684 4.049393e-05 1.278217487373737 1.0141346862799328
7.248683 4.044659e-05 1.276723169191919 1.0129490978214035
7.21884 4.003507e-05 1.2637332702020199 1.0026429431434574
7.188896 4.012258e-05 1.2664955808080807 1.0048345537477223
7.15885 4.046506e-05 1.2773061868686866 1.0134116626466894
7.128721 4.048494e-05 1.277933712121212 1.0139095396757465
7.098776 4.006387e-05 1.2646423611111108 1.0033642136885703
7.068785 4.000828e-05 1.262887626262626 1.0019720112718058
7.038674 4.022589e-05 1.2697566287878788 1.0074218613871533
7.008452 3.955765e-05 1.2486631944444444 0.990686381211243
6.9786090000000005 4.007934e-05 1.2651306818181816 1.003751646165407
6.948716999999999 3.994676e-05 1.2609457070707069 1.000431297246273
6.918859 4.029079e-05 1.2718052398989899 1.0090472245252722
6.888623 4.039358e-05 1.2750498737373734 1.011621509224305
6.858174 4.041585e-05 1.2757528409090908 1.01217924169096
6.828119 4.06564e-05 1.2833459595959593 1.018203603830783
6.798424 4.010257e-05 1.2658639520202022 1.004333420983566
6.768415 3.999704e-05 1.262532828282828 1.0016905154062825
6.738443 4.048093e-05 1.2778071338383838 1.0138091127699862
6.708304 4.012587e-05 1.2665994318181817 1.004916948889855
6.678661 4.031384e-05 1.272532828282828 1.009624491402524
6.648554 4.028712e-05 1.2716893939393938 1.0089553126190025
6.618563 4.015201e-05 1.267424558080808 1.0055716020860095
6.588368999999999 4.071805e-05 1.2852919823232323 1.0197475735914154
6.558249 4.042637e-05 1.2760849116161614 1.0124427057928556
6.528199 4.004861e-05 1.2641606691919192 1.0029820404761254
6.498406 3.989772e-05 1.259397727272727 0.999203133790289
6.468526 3.985712e-05 1.2581161616161616 0.9981863426746094
6.438332 4.047428e-05 1.277597222222222 1.0136425693975901
6.408434000000001 4.081555e-05 1.2883696338383837 1.022189374916016
6.378359000000001 4.083015e-05 1.2888304924242422 1.0225550190118025
6.3482389999999995 4.105711e-05 1.2959946338383836 1.0282390316131502
6.318350000000001 4.007706e-05 1.265058712121212 1.0036945455805857
6.288202 4.009373e-05 1.2655849116161615 1.004112030996802
6.258017 4.062786e-05 1.2824450757575758 1.0174888447558692
6.228359 4.058157e-05 1.2809839015151514 1.0163295526192972
6.198229 4.010988e-05 1.2660946969696967 1.0045164934726205
6.168331 3.990815e-05 1.259726957070707 0.999464343921731
6.13872 3.995107e-05 1.2610817550505051 1.0005392373868784
6.108563 3.993197e-05 1.2604788510101008 1.0000608947684182
6.078415 3.993001e-05 1.260416982323232 1.0000118083007645
6.048091 4.052927e-05 1.2793330176767677 1.0150197453446652
6.018091 4.038367e-05 1.2747370580808082 1.0113733220332612
5.988434 4.026174e-05 1.2708882575757572 1.0083196929511218
5.958563 3.988617e-05 1.259033143939394 0.9989138742487597
5.928369 4.017023e-05 1.2679996843434342 1.006027905882258
5.898304 4.018623e-05 1.2685047348484848 1.0064286117406542
5.868285 4.031621e-05 1.2726076388888887 1.0096838459577988
5.838220000000001 4.001709e-05 1.2631657196969694 1.002192649935085
5.808416 4.053926e-05 1.2796483585858585 1.015269936065001
5.778378 3.95451e-05 1.2482670454545455 0.9903720775535636
5.748239 4.025209e-05 1.270583648989899 1.0080780172302768
5.718359 3.992194e-05 1.2601622474747474 0.9998097022834361
5.688285 3.982232e-05 1.2570176767676766 0.9973148074325978
5.658192 4.009252e-05 1.265546717171717 1.0040817276162608
5.628072 3.99334e-05 1.26052398989899 1.0000967078545124
5.597785 4.002713e-05 1.2634826388888887 1.0024440928612284
5.568123 4.018149e-05 1.2683551136363636 1.0063099026301043
5.5383130000000005 3.967746e-05 1.2524450757575756 0.9936869167671446
5.508211 4.051605e-05 1.2789157196969696 1.0146886621291653
5.477711 4.054088e-05 1.2796994949494949 1.0153105075331639
5.447953 4.041026e-05 1.2755763888888887 1.012039245081683
5.418091 3.989088e-05 1.259181818181818 0.9990318320358248
5.388109 3.977877e-05 1.2556429924242423 0.9962241361742761
5.358128 4.048682e-05 1.2779930555555554 1.0139566226141081
5.3279049999999994 3.997553e-05 1.261853851010101 1.0011518164679014
5.297665 4.015188e-05 1.2674204545454546 1.0055683463509102
5.267499 4.031243e-05 1.2724883207070707 1.0095891791987528
5.237674 4.035288e-05 1.2737651515151516 1.0106022136970103
5.20768 3.970347e-05 1.2532660984848485 0.9943383142281998
5.177887 4.01265e-05 1.2666193181818182 1.0049327266830295
5.147895999999999 4.032016e-05 1.272732323232323 1.0097827702165905
5.117702 4.005614e-05 1.2643983585858585 1.0031706226707329
5.087619 4.031274e-05 1.272498106060606 1.0095969428747593
5.05747 3.972264e-05 1.253871212121212 0.9948184099347905
5.027544 4.054414e-05 1.2798023989898988 1.0153921513518118
4.9976270000000005 4.006686e-05 1.2647367424242422 1.003439095595858
4.967618000000001 3.999921e-05 1.2626013257575757 1.0017448611383275
4.937646 3.976519e-05 1.2552143308080808 0.9958840370769626
4.9079049999999995 3.98804e-05 1.25885101010101 0.9987693696985753
4.878019 4.033446e-05 1.273183712121212 1.010140901077532
4.847952 3.977879e-05 1.2556436237373736 0.9962246370565991
4.817674 4.034225e-05 1.2734296085858585 1.0103359947423385
4.787692 4.006857e-05 1.2647907196969697 1.0034819210344743
4.757905 4.002939e-05 1.2635539772727271 1.002500692563727
4.727729 4.02548e-05 1.2706691919191917 1.0081458867850426
4.697618 3.975612e-05 1.2549280303030301 0.9956568869434841
4.6676 4.003862e-05 1.2638453282828281 1.002731849755789
4.63767 3.935973e-05 1.2424157196969696 0.9857296497428839
4.608017 4.061952e-05 1.282181818181818 1.01727997682718
4.578017 3.99369e-05 1.2606344696969696 1.0001843622610365
4.547757 4.011497e-05 1.2662553661616163 1.0046439680238228
4.517794 4.044904e-05 1.276800505050505 1.0130104559059705
4.48784 4.01055e-05 1.2659564393939393 1.0044068002438846
4.457526 3.969458e-05 1.2529854797979796 0.9941156720356285
4.427776 4.021533e-05 1.2694232954545455 1.0071573955206121
4.39735 3.993155e-05 1.2604655934343432 1.000050376239635
4.367387 4.010662e-05 1.2659917929292928 1.0044348496539723
4.337479 4.019758e-05 1.268863005050505 1.0067128624589539
4.307537999999999 3.968587e-05 1.2527105429292926 0.993897537783964
4.277523 3.994508e-05 1.2608926767676765 1.0003892231311413
4.247585 4.00209e-05 1.2632859848484848 1.0022880680176156
4.2175720000000005 3.972174e-05 1.2538428030303028 0.9947958702302556
4.187765000000001 4.016468e-05 1.2678244949494948 1.0058889110376268
4.157646 4.015609e-05 1.2675533459595958 1.0056737820799007
4.127535 3.986645e-05 1.258410669191919 0.9984200042782863
4.097535 3.995437e-05 1.2611859217171717 1.0006218829701725
4.067257 3.908821e-05 1.2338450126262623 0.9789296713259031
4.037248 3.977941e-05 1.2556631944444443 0.996240164408612
4.007248 3.957619e-05 1.2492484217171715 0.9911506991246594
3.977202 4.000556e-05 1.2628017676767676 1.0019038912758782
3.9471930000000004 4.025859e-05 1.2707888257575757 1.0082408039852502
3.917463 4.007183e-05 1.2648936237373736 1.0035635648531225
