Keff(MJ/m3):-0.012363531275818403 Ms(MA/m):1.184828126112654
H(kOe) moment(emu) M(MA/m) M_norm()
9.967615 3.366229e-05 1.1985434024068928 1.0115757517837105
9.939079 3.351141e-05 1.1931713309121983 1.0070417004928114
9.910956 3.340808e-05 1.1894922737306843 1.0039365605147583
9.882337999999999 3.361738e-05 1.1969443851028982 1.0102261743481706
9.853551 3.3457e-05 1.1912340667948444 1.005406641301813
9.824708000000001 3.317456e-05 1.1811778110090438 0.9969191184584834
9.79519 3.359235e-05 1.1960531937620165 1.0094740050493156
9.766041999999999 3.358976e-05 1.1959609769992166 1.0093961737075645
9.736523 3.329247e-05 1.1853759880367443 1.000462397804387
9.706908 3.360052e-05 1.1963440860215053 1.0097195193590098
9.677337999999999 3.367899e-05 1.1991380046998503 1.012077598659095
9.647755 3.373297e-05 1.201059958698284 1.0136997360443203
9.618098 3.339392e-05 1.188988107954141 1.00351104244557
9.588273 3.373698e-05 1.201202734458449 1.0138202393958347
9.558664 3.346514e-05 1.1915238909065016 1.005651254090174
9.528903 3.329084e-05 1.1853179520045574 1.0004134151452924
9.498993 3.336007e-05 1.1877828811507511 1.0024938258748055
9.468922000000001 3.339378e-05 1.1889831232642596 1.003506835346016
9.439357 3.310728e-05 1.1787823114719076 0.9948973066156167
9.409301 3.35828e-05 1.1957131667022716 1.0091870207583025
9.37931 3.372198e-05 1.200668660542619 1.0133694787293215
9.349264999999999 3.358993e-05 1.1959670298369292 1.0094012823284515
9.318984 3.355502e-05 1.1947240618101547 1.0083522120039203
9.289671 3.357744e-05 1.1955223242896815 1.0090259489468016
9.259428 3.326184e-05 1.1842854091006192 0.999541944523367
9.229652 3.34016e-05 1.1892615537990459 1.003741831906825
9.199513999999999 3.316157e-05 1.180715302997935 0.996528759721283
9.169403 3.360741e-05 1.1965894039735099 1.0099265687584948
9.139673 3.370193e-05 1.1999547817417928 1.012766961971749
9.109561 3.372986e-05 1.2009492273730684 1.0136062783327964
9.079361 3.369061e-05 1.1995517339599802 1.0124267879220874
9.049352 3.347668e-05 1.1919347717724134 1.0059980392962782
9.019375 3.33514e-05 1.1874741864274014 1.002233286209561
8.989366 3.348512e-05 1.1922352773623868 1.0062516672979693
8.959439 3.338504e-05 1.1886719361959694 1.0032441921309945
8.929191999999999 3.347615e-05 1.1919159011607205 1.0059821124193946
8.899059999999999 3.375994e-05 1.202020223598946 1.0145102037227105
8.869296 3.353783e-05 1.1941120131026133 1.0078356402800963
8.839552 3.365561e-05 1.19830556148971 1.0113750130335568
8.809395 3.364116e-05 1.1977910702841275 1.0109407802581494
8.779301 3.360755e-05 1.1965943886633912 1.0099307758580491
8.749042 3.331817e-05 1.1862910346791995 1.0012347010796792
8.719228 3.334251e-05 1.187157658619953 1.0019661353878744
8.689236000000001 3.334809e-05 1.1873563341166415 1.002133818355817
8.659606 3.335705e-05 1.187675354269031 1.0024030727272812
