Keff(MJ/m3):0.0654948547691985 Ms(MA/m):1.5089330764092987
H(kOe) moment(emu) M(MA/m) M_norm()
9.967122 8.733485e-05 1.1943477739770467 1.0183802975496388
9.938844 8.621787e-05 1.1790725135675204 1.0053555952142363
9.910426 8.648777e-05 1.1827635311188922 1.0085028021116966
9.881779 8.523739e-05 1.1656639589592628 0.9939225703204917
9.852575 8.670832e-05 1.1857796627267283 1.0110745563956345
9.823879000000002 8.529458e-05 1.1664460608257425 0.994589442356304
9.794861999999998 8.559194e-05 1.170512607617428 0.9980568504445912
9.765766 8.530013e-05 1.166521959852827 0.994654158911624
9.736418 8.560366e-05 1.1706728844818297 0.9981935131524025
9.706752 8.464709e-05 1.1575913110875522 0.9870392941753612
9.676695 8.559286e-05 1.1705251890777735 0.9980675782339417
9.647144 8.575078e-05 1.1726848240970864 0.9999090265972128
9.617798 8.539764e-05 1.1678554578944509 0.9957911879763568
9.587854 8.481859e-05 1.1599366594019658 0.9890390940379562
9.558284 8.568373e-05 1.1717678817969033 0.9991271806451021
9.528464 8.338866e-05 1.1403816511498992 0.9723651942273405
9.498464 8.691534e-05 1.1886107648144828 1.0134885422122784
9.468511000000001 8.568422e-05 1.1717745827920873 0.9991328943589953
9.438778000000001 8.591856e-05 1.174979299550103 1.0018654488767826
9.408954 8.571202e-05 1.1721547617025287 0.9994570601676258
9.379001 8.575519e-05 1.1727451330537428 0.999960450022251
9.348751 8.38834e-05 1.1471474682057183 0.978134179556905
9.319130999999999 8.49909e-05 1.1622930848716837 0.991048339019436
9.289144 8.482008e-05 1.1599570358975253 0.9890564683924475
9.259047 8.651461e-05 1.1831305815489728 1.0088157737053527
9.228974000000001 8.540084e-05 1.1678992194956526 0.9958285020262709
9.198779 8.402394e-05 1.149069423028504 0.9797729659865791
9.168974 8.713293e-05 1.1915864169412076 1.0160257810000457
9.139316 8.510618e-05 1.1638695965549815 0.9923925776675989
9.109242 8.447086e-05 1.1551812776563621 0.9849843394827366
9.078964 8.426296e-05 1.1523381411282771 0.9825600923023661
9.049047 8.554335e-05 1.169848115054178 0.9974902599179237
9.018742 8.580923e-05 1.1734841570940395 1.000590591040179
8.988724 8.605965e-05 1.1769087758980947 1.0035106486587857
8.958813 8.615364e-05 1.1781941361783965 1.0046066322686127
8.929464 8.472761e-05 1.1586924623777948 0.98797820895633
8.899011 8.540038e-05 1.16789292876548 0.995823138131596
8.868761000000001 8.694569e-05 1.189025816250882 1.0138424426544344
8.838695 8.643259e-05 1.1820089170081671 1.0078593679634866
8.809021000000001 8.546676e-05 1.1688007084804117 0.9965971714545059
8.779141 8.663157e-05 1.1847300680729018 1.010179602229721
8.749113 8.50718e-05 1.1633994328520687 0.991991684843832
8.719130999999999 8.486593e-05 1.1605840575897464 0.9895911087638761
8.688955 8.676273e-05 1.1865237467021643 1.0117090118505838
8.659021000000001 8.459466e-05 1.15687430460286 0.9864279267887963
8.629086 8.557246e-05 1.1702462088701115 0.9978297011657381
8.599214 8.564137e-05 1.1711885876009933 0.9986332359093615
8.568992 8.568147e-05 1.1717369751660545 0.9991008275973502
8.538909 8.740725e-05 1.1953378802042394 1.01922452792895
8.509021 8.630779e-05 1.1803022145612936 1.0064041200168286
8.479201 8.633579e-05 1.1806851285718098 1.0067306179535787
8.448816 8.57771e-05 1.173044763266972 1.0002159346577582
8.418575 8.618239e-05 1.1785873068141945 1.0049418756858115
8.388652 8.665904e-05 1.1851057340682194 1.0104999200269542
8.359112 8.587856e-05 1.1744322795350794 1.0013990232528538
8.328937 8.514011e-05 1.1643336062827252 0.9927882232030965
8.29902 8.628961e-05 1.1800535939644654 1.006192129570753
8.268728 8.517066e-05 1.1647513928191997 0.9931444557733724
8.239011 8.592988e-05 1.1751341062143548 1.0019974473283546
8.20889 8.58507e-05 1.1740512800946152 1.0010741578057871
8.178787999999999 8.588736e-05 1.1745526239383843 1.001501636890118
8.148751 8.674835e-05 1.1863270930067633 1.0115413318387814
8.118708999999999 8.595062e-05 1.1754177360921443 1.0022392890143617
8.088890000000001 8.611846e-05 1.1777130320751832 1.0041964109323671
8.058797 8.669119e-05 1.1855454014052944 1.010874809622187
8.028936 8.640343e-05 1.181610139417215 1.0075193436836425
7.9984269999999995 8.477569e-05 1.159349980435853 0.9885388525562925
7.968455 8.584566e-05 1.1739823555727225 1.0010153881771722
7.938445 8.759369e-05 1.1978875404942637 1.0213985377620822
7.908742 8.719845e-05 1.1924824357258161 1.0167897861720412
7.878723 8.616016e-05 1.1782833004408453 1.0046826596453131
7.848714 8.70368e-05 1.190271791090102 1.0149048436193384
7.818242000000001 8.52195e-05 1.1654193042575434 0.9937139614601894
7.788558 8.458425e-05 1.1567319426439502 0.9863065395201689
7.758662 8.607164e-05 1.177072745147598 1.0036504597395584
7.728603 8.653297e-05 1.1833816637358687 1.0090298630667363
7.698501 8.586427e-05 1.1742368566347121 1.001232392698705
7.66814 8.65573e-05 1.1837143886600068 1.0093135664524908
7.63837 8.590068e-05 1.1747347816033873 1.0016569566228863
7.608594 8.594355e-05 1.1753210503044886 1.002156848285332
7.578279 8.535854e-05 1.1673207458297654 0.9953352569289663
7.54837 8.57866e-05 1.17317468052054 1.0003267107434413
7.518464 8.568075e-05 1.171727128805784 0.9990924319361194
7.488381 8.49471e-05 1.1616940979552328 0.9905376029612338
7.458594 8.621554e-05 1.1790406496516455 1.0053284259216426
7.428408 8.528889e-05 1.1663682472286054 0.9945230933113001
7.398285 8.551798e-05 1.1695011676096494 0.9971944294659469
7.368742 8.569198e-05 1.171880704675002 0.9992233809300375
7.338344 8.59944e-05 1.1760164494985876 1.0027497918597519
7.3086400000000005 8.582875e-05 1.1737511028613712 1.0008182067446563
7.27851 8.582962e-05 1.173763000546698 1.0008283515019767
7.248279 8.65971e-05 1.1842586735749552 1.0097776599483002
7.218445 8.598653e-05 1.1759088233106316 1.0026580226182438
7.188547 8.622561e-05 1.1791783619404277 1.0054458485724667
7.158209 8.493233e-05 1.1614921108146854 0.9903653752995981
7.128335 8.542339e-05 1.168207602029122 0.9960914494717609
7.098122 8.523183e-05 1.1655879231771744 0.9938577371587656
7.068237 8.679515e-05 1.186967106424341 1.0120870498187782
7.038294 8.693079e-05 1.1888220512952858 1.013668699109521
7.008437 8.514903e-05 1.1644555917460755 0.9928922361172327
6.978294 8.542689e-05 1.1682554662804367 0.9961322617138547
6.948408000000001 8.698729e-05 1.1895947170665067 1.0143275253033206
6.9182049999999995 8.67142e-05 1.185860074668937 1.011143120962352
6.88814 8.463711e-05 1.1574548295938039 0.9869229209821909
6.857908999999999 8.680841e-05 1.1871484435593211 1.0122416699131105
6.8278810000000005 8.678483e-05 1.1868259752604648 1.0119667120078046
6.798322 8.621858e-05 1.179082223172787 1.0053638742690612
6.768362 8.463805e-05 1.157467684564157 0.9869338819843533
6.738214 8.666712e-05 1.185216232111254 1.0105941380029877
6.707964 8.547604e-05 1.168927617123897 0.9967053821992573
6.678294 8.521993e-05 1.1654251847227048 0.9937189755356467
6.648214 8.503845e-05 1.162943354914543 0.9916028024798813
6.618288 8.574237e-05 1.172569813138928 0.9998109606097819
6.588205 8.477474e-05 1.159336988710496 0.9885277749477241
6.557844 8.550084e-05 1.1692667695332117 0.9969945660860933
