Keff(MJ/m3):0.0654948547691985 Ms(MA/m):1.1727915169321417
H(kOe) moment(emu) M(MA/m) M_norm()
9.967011000000001 6.687408e-05 1.1766578831796222 1.0032967208507735
9.938705 6.6675e-05 1.1731550454376538 1.0003099685666752
9.910314 6.696464e-05 1.1782512978165147 1.0046553720806706
9.881807 6.693765e-05 1.177776405357927 1.004250447205506
9.852788 6.707817e-05 1.180248872504307 1.0063586370335222
9.823771 6.661356e-05 1.1720740008783486 0.99938819812095
9.794611999999999 6.649694e-05 1.1700220572503182 0.997638574595877
9.765437 6.685969e-05 1.1764046893122977 1.0030808309302983
9.735965 6.696551e-05 1.178266605576388 1.0046684244942088
9.706382 6.714174e-05 1.1813673946826118 1.0073123633882546
9.676701 6.685002e-05 1.176234544441066 1.0029357541039612
9.647279000000001 6.664165e-05 1.1725682479758566 0.9998096260477147
9.617575 6.690757e-05 1.1772471439591001 1.0037991637581196
9.587594 6.665105e-05 1.1727336421629897 0.9999506521250229
9.557889999999999 6.697349e-05 1.1784070146841885 1.004788146632179
9.528141 6.662677e-05 1.1723064324966495 0.9995863847678903
9.498040999999999 6.606266e-05 1.1623808458047586 0.9911231698242362
9.468557 6.666268e-05 1.1729382734817515 1.0001251343887565
9.438362 6.689441e-05 1.1770155920971135 1.003601727249888
9.408474 6.639808e-05 1.1682826030652116 0.9961554003402713
9.37856 6.686038e-05 1.1764168299494386 1.003091182844484
9.348861999999999 6.647615e-05 1.1696562545747327 0.9973266669206388
9.318825 6.676051e-05 1.1746596046867783 1.0015928557869547
9.288862 6.68022e-05 1.175393145501841 1.002218321442591
9.259251 6.645353e-05 1.1692582528180353 0.9969873041686481
9.228909 6.686652e-05 1.1765248640248638 1.0031832998779597
9.198788 6.672244e-05 1.1739897582288885 1.0010217001738566
9.168668 6.670469e-05 1.173677444737227 1.0007554009321307
9.138879999999999 6.683313e-05 1.1759373627580145 1.0026823572480317
9.109020000000001 6.709562e-05 1.1805559074580811 1.0066204354429933
9.078816000000002 6.717446e-05 1.181943107214846 1.0078032541594808
9.048779 6.674337e-05 1.1743580242221545 1.0013357082374799
9.018538000000001 6.663443e-05 1.172441211164037 0.9997013060181226
8.988808 6.689514e-05 1.1770284365393058 1.0036126792750406
8.958575999999999 6.650098e-05 1.1700931415605327 0.9976991858035712
8.928715 6.68482e-05 1.1762025213112166 1.0029084490549502
8.898721 6.667914e-05 1.1732278892604977 1.0003720800517875
8.868974 6.697713e-05 1.1784710609438869 1.0048427567302005
8.838861999999999 6.702817e-05 1.179369116189768 1.0056084983244358
8.808974000000001 6.686352e-05 1.1764720786459915 1.0031382915554143
8.778825000000001 6.647127e-05 1.1695703903584336 0.9972534533826318
8.749048 6.658174e-05 1.171514123959776 0.9989108098464875
8.718955 6.684021e-05 1.1760619362521534 1.0027885768892384
8.688825000000001 6.687696e-05 1.1767085571433396 1.0033399288404168
8.658825 6.653708e-05 1.1707283256196297 0.9982407859515313
8.628955 6.64422e-05 1.1690589000371605 0.996817322737169
8.599002 6.675754e-05 1.1746073471616947 1.0015482975476349
