Keff(MJ/m3):0.05931107727780137 Ms(MA/m):1.2337294791771536
H(kOe) moment(emu) M(MA/m) M_norm()
9.966851 7.39032e-05 1.0889448544608031 1.0051054220512308
9.938407 7.364294e-05 1.0851099895588505 1.0015658089202288
9.910472 7.385751e-05 1.0882716239322157 1.0044840245104814
9.881536 7.38357e-05 1.087950259129666 1.0041874020468406
9.852555 7.320011e-05 1.078585002144221 0.9955431896825379
9.823606 7.368428e-05 1.0857191239438762 1.0021280451718069
9.794489 7.342226e-05 1.081858325889586 0.998564495519209
9.765452999999999 7.319685e-05 1.0785369668734135 0.9954988527163999
9.736036 7.318496e-05 1.0783617707476767 0.9953371451926635
9.706521 7.351526e-05 1.0832286572347083 0.9998293230808134
9.676851000000001 7.323652e-05 1.079121494233209 0.996038376473054
9.647152 7.288397e-05 1.073926759655543 0.9912435919908643
9.617592 7.267774e-05 1.07088801306087 0.9884388028722657
9.587722 7.424253e-05 1.0939447957010227 1.0097204106155238
9.557897 7.348289e-05 1.0827516935181318 0.9993890814875969
9.528027 7.288247e-05 1.0739046575370736 0.9912231915463225
9.498192999999999 7.32937e-05 1.0799640269892745 0.9968160414189953
9.468129000000001 7.302443e-05 1.0759964020290476 0.9931538896177778
9.438566999999999 7.359481e-05 1.0844008062508859 1.000911226656358
9.408674999999999 7.369788e-05 1.0859195164846682 1.002313009202321
9.378758 7.323743e-05 1.0791349028517474 0.9960507527427429
9.348563 7.37331e-05 1.0864384742263373 1.0027920116401674
9.318945 7.329656e-05 1.0800061683618236 0.9968549382665888
9.289018 7.32072e-05 1.0786894714908546 0.9956396157837398
9.25887 7.291343e-05 1.0743608452622886 0.9916442567216694
9.228796 7.320285e-05 1.078625375347292 0.9955804544945678
9.198601 7.432915e-05 1.0952211193689203 1.0108984682863427
9.168747 7.374995e-05 1.0866867546904804 1.003021176633856
9.139026 7.365613e-05 1.0853043408539278 1.001745196829235
9.108953 7.258332e-05 1.0694967583769297 0.9871546628898282
9.078785 7.383824e-05 1.087987685383608 1.0042219467995983
9.048518 7.405691e-05 1.0912097322141234 1.0071959236049322
9.018749 7.334259e-05 1.0806844087039311 0.9974809599081013
8.988786 7.352336e-05 1.083348008674445 0.9999394854813404
8.958878 7.308832e-05 1.076937804928401 0.9940228125523037
8.928925 7.366841e-05 1.0854852835304665 1.0019122084685523
8.898795 7.311953e-05 1.0773976763400277 0.9944472778017412
8.868842 7.356031e-05 1.0838924575260822 1.0004420164318917
8.838647000000002 7.327459e-05 1.0796824459999708 0.9965561397555304
8.808888999999999 7.313961e-05 1.0776935500326088 0.9947203717526767
8.778879000000002 7.31921e-05 1.0784669768315924 0.9954342513086833
8.748702 7.252057e-05 1.068572153087613 0.9863012442931541
8.718860000000001 7.335031e-05 1.0807981609403219 0.9975859541960108
8.689082 7.319944e-05 1.0785751298646378 0.9955340774839758
8.658842 7.372398e-05 1.0863040933460413 1.0026679769373519
8.628464 7.321849e-05 1.078855826769203 0.995793163129659
8.598554 7.386005e-05 1.0883090501861574 1.004518569263239
8.568955 7.307059e-05 1.076676557888089 0.9937816792978174
8.538832000000001 7.328425e-05 1.0798247836429156 0.9966875186183808
8.509165000000001 7.334987e-05 1.0807916776522373 0.9975799700656116
8.478841000000001 7.405569e-05 1.0911917558244346 1.0071793312433712
8.448822 7.345319e-05 1.0823140715724315 0.9989851526856652
8.418662 7.324319e-05 1.0792197749866712 0.9961290904497843
8.388823 7.308471e-05 1.0768846124966174 0.9939737154824395
8.358859 7.386371e-05 1.0883629793552239 1.0045683463479218
8.328814 7.239523e-05 1.0667253000682835 0.9845965831472241
8.298926 7.325043e-05 1.0793264545451515 0.9962275565954402
8.26886 7.358065e-05 1.0841921622525317 1.0007186464598814
8.238712 7.426281e-05 1.0942436163427331 1.0099962246257317
8.208842 7.347467e-05 1.0826305739089177 0.9992772870515066
8.17886 7.291773e-05 1.0744242046685684 0.9917027379960233
8.148888 7.352595e-05 1.0833861716656692 0.9999747102489162
8.118518 7.367574e-05 1.0855932892160551 1.0020118986408808
8.088554 7.335813e-05 1.0809133866512772 0.9976923085135564
8.058388 7.372208e-05 1.086276097329313 1.0026421363742655
8.028804000000001 7.325823e-05 1.079441385561194 0.9963336389070586
7.998794 7.379636e-05 1.0873705942359333 1.0036523663879855
7.968767 7.382069e-05 1.0877290905975123 1.003983261598457
7.938517 7.375398e-05 1.0867461357154358 1.0030759858281921
7.908304 7.366044e-05 1.0853678476076642 1.0018038141065526
7.878832 7.320547e-05 1.078663980380886 0.9956160872710345
7.8487860000000005 7.39262e-05 1.0892837536106723 1.0054182288675417
7.818684 7.382422e-05 1.0877811042496444 1.0040312706446124
7.7884709999999995 7.377109e-05 1.086998247213447 1.0033086868989345
7.758388 7.382855e-05 1.0878449056982937 1.004090159927857
7.728464 7.407838e-05 1.0915260872031534 1.0074879219678101
7.698786 7.394761e-05 1.0895992245149633 1.005709411212638
7.668267 7.319997e-05 1.0785829392798305 0.9955412856410473
7.638219 7.294012e-05 1.074754115623593 0.9920072486315535
7.608416 7.283699e-05 1.0732345213050718 0.9906046500678087
7.578266999999999 7.383303e-05 1.0879109173587895 1.0041510892555556
7.548203 7.276504e-05 1.0721743563558077 0.9896261087446105
7.518332 7.271711e-05 1.0714681199969718 0.9889742465400115
7.4881660000000005 7.298197e-05 1.0753707647288981 0.9925764210342756
7.4582299999999995 7.285188e-05 1.073453921667748 0.9908071584806292
7.428577000000001 7.306623e-05 1.0766123143970703 0.9937223820056819
7.398703 7.357117e-05 1.0840524768638031 1.000589715650376
7.368647 7.421046e-05 1.0934722524081402 1.0092842491112157
7.338165 7.348097e-05 1.0827234028064905 0.999362968918583
7.308377999999999 7.318601e-05 1.0783772422306055 0.9953514255038429
7.278341 7.453532e-05 1.0982589818788548 1.0137024413871598
7.248758 7.431294e-05 1.0949822691419913 1.0106780074823256
7.218516999999999 7.314187e-05 1.07772685055777 0.9947511084224535
7.1882399999999995 7.341041e-05 1.0816837191536752 0.9984033320073272
7.158162 7.291236e-05 1.0743450790844467 0.9916297044045627
7.128286 7.350323e-05 1.0830513982445815 0.9996657115155867
7.0982389999999995 7.350699e-05 1.083106800888212 0.9997168486299052
7.0682089999999995 7.323305e-05 1.0790703646658157 0.9959911834446802
7.038266999999999 7.37169e-05 1.0861997713468643 1.0025716868391137
7.008036 7.314089e-05 1.0777124105070364 0.9947377801320193
6.978238 7.351636e-05 1.0832448654549196 0.9998442834068109
6.948396 7.366946e-05 1.0855007550133953 1.0019264887797317
6.918211 7.372399e-05 1.0863042406934977 1.0026681129403154
6.888119 7.29716e-05 1.0752179654165441 0.9924353859610084
6.858026 7.334194e-05 1.0806748311192609 0.9974721197154663
6.827675 7.312746e-05 1.077514522873004 0.9945551281518865
6.798134 7.375572e-05 1.0867717741728604 1.0030996503438607
6.76798 7.396995e-05 1.0899283987327055 1.00601324183335
6.738256000000001 7.333208e-05 1.0805295465271867 0.9973380207933437
6.708063 7.342876e-05 1.0819541017362881 0.9986528974455577
6.678249 7.467982e-05 1.100388152624771 1.0156676842113732
6.6480820000000005 7.270896e-05 1.071348031819953 0.9888634041246666
6.618220999999999 7.376037e-05 1.0868402907401165 1.0031628917219408
6.587878 7.375387e-05 1.0867445148934147 1.0030744897955923
6.557785 7.417127e-05 1.0928947977262544 1.0087512534968146
6.528091000000001 7.351937e-05 1.0832892170393154 0.9998852202988585
6.498008 7.406072e-05 1.0912658715950363 1.0072477407340688
6.467886999999999 7.408764e-05 1.0916625309478396 1.0076138607121161
6.438153000000001 7.330906e-05 1.0801903526824046 0.9970249419711056
6.407934 7.421915e-05 1.0936002973478078 1.0094024356865956
6.376756 7.29075e-05 1.074273468220605 0.9915636069642468
6.347917000000001 7.39971e-05 1.0903284470770076 1.0063824898795606
6.317989 7.392177e-05 1.0892184786874584 1.005357979554661
6.288036 7.371971e-05 1.0862411759821309 1.002609903671889
6.257936 7.36514e-05 1.0852346455070199 1.001680867427446
6.228091 7.294202e-05 1.0747821116403213 0.9920330891946401
6.198036 7.381058e-05 1.0875801223190265 1.003845762602244
6.167897 7.418272e-05 1.0930635105639066 1.008906976890152
6.138125 7.33038e-05 1.0801128479203042 0.996953404412245
6.108258 7.400367e-05 1.0904252543559048 1.0064718438266544
6.077979999999999 7.37279e-05 1.0863618535489754 1.0027212900990883
