Keff(MJ/m3):0.05783256710723117 Ms(MA/m):1.1354940196297953
H(kOe) moment(emu) M(MA/m) M_norm()
9.967291 6.098533e-05 1.1379558516196449 1.0021680712952166
9.938936 6.097597e-05 1.137781198686371 1.0020142590071248
9.910841 6.053042e-05 1.129467457829527 0.9946925640328487
9.88238 6.121751e-05 1.1422882146589042 1.0059834705526007
9.853361000000001 6.114104e-05 1.1408613225854607 1.0047268438784163
9.82438 6.102455e-05 1.1386876772652637 1.0028125710750195
9.795214 6.066729e-05 1.132021383788625 0.9969417400874535
9.765927 6.084876e-05 1.1354075235109717 0.9999238251216402
9.736694 6.06715e-05 1.1320999402895955 0.9970109227512212
9.707167 6.140293e-05 1.1457480594118525 1.0090304656869973
9.677307 6.168562e-05 1.1510229138677417 1.0136758925802263
9.64775 6.034348e-05 1.125979250634423 0.9916205908345741
9.617982 6.086814e-05 1.1357691446484548 1.0002422954360863
9.588028 6.096506e-05 1.1375776235258992 1.0018349756670522
9.558651 6.15376e-05 1.148260934467831 1.0112434892807256
9.528861000000001 6.162881e-05 1.1499628675921778 1.0127423374427809
9.498683000000002 6.049941e-05 1.1288888266905508 0.9941829786638612
9.468807 6.085248e-05 1.1354769368562472 0.9999849556463947
9.438778000000001 6.023906e-05 1.1240308254963427 0.9899046635778936
9.40934 6.086515e-05 1.1357133527392147 1.0001931609551682
9.379408 6.013322e-05 1.1220559038662485 0.9881654015510114
9.349223 6.085056e-05 1.1354411106135245 0.9999534044078118
9.319270000000001 6.054083e-05 1.1296617032392895 0.9948636309045402
9.289214 6.035268e-05 1.1261509180474698 0.9917717738527838
9.25901 6.192949e-05 1.1555734064785788 1.017683392868357
9.22913 6.087796e-05 1.135952380952381 1.0004036668750886
9.19901 6.100797e-05 1.1383783027317511 1.0025401129835068
9.169324000000001 5.969833e-05 1.1139410732945216 0.9810188816826173
9.139287 6.13161e-05 1.144127854903717 1.007603593787959
9.109167 6.235773e-05 1.1635641513658754 1.0247206337072843
9.079086 6.047784e-05 1.128486341244962 0.9938285202179066
9.049538 6.043583e-05 1.1277024555903865 0.993138172544538
9.019362 5.949455e-05 1.1101386400955366 0.9776701778292718
