Keff(MJ/m3):0.05817754207563307 Ms(MA/m):1.3341583198051945
H(kOe) moment(emu) M(MA/m) M_norm()
9.966942 7.397842e-05 1.1049787847605914 1.0001714679048914
9.938768 7.497147e-05 1.1198114776216515 1.0135972787859964
9.910184 7.402425e-05 1.1056633246264815 1.000791079115486
9.881582 7.33237e-05 1.0951995584678635 0.9913198019262628
9.852813 7.373921e-05 1.1014058242255786 0.9969374029324637
9.823461 7.379864e-05 1.1022935005125056 0.9977408830600143
9.794643 7.430957e-05 1.1099250072478175 1.0046485408350336
9.765313 7.426395e-05 1.109243604047252 1.0040317687768332
9.735916 7.400481e-05 1.1053729590364114 1.0005282547224255
9.7066 7.413728e-05 1.1073515973963177 1.0023192190922157
9.676582 7.308274e-05 1.091600459055144 0.9880620773505505
9.646768 7.412599e-05 1.1071829642938538 1.0021665808515954
9.617258 7.360555e-05 1.099409411428832 0.9951303500324401
9.587708000000001 7.38368e-05 1.102863477411532 0.9982567976093554
9.558174999999999 7.453471e-05 1.1132878112060662 1.0076923825970516
9.528286 7.356315e-05 1.098776103763247 0.9945571116442835
9.498138 7.42409e-05 1.108899317686598 1.0037201380021397
9.468501 7.424856e-05 1.1090137312884467 1.0038236994656604
9.438739 7.425492e-05 1.109108727438284 1.0039096852238836
9.408868 7.367278e-05 1.100413592427824 0.9960392843917741
9.378720999999999 7.386546e-05 1.1032915575458635 0.9986442743122931
9.348572 7.48469e-05 1.1179508376239653 1.0119131206253205
9.31873 7.421147e-05 1.1084597364460755 1.0033222510737565
9.288656000000001 7.406048e-05 1.1062044740775225 1.001280900502347
9.258721 7.45674e-05 1.1137760854416316 1.008134343986411
9.228698 7.470841e-05 1.1158822815247473 1.0100407672202307
9.198776 7.499243e-05 1.1201245466940726 1.0138806532344813
9.16898 7.36686e-05 1.1003511578513585 0.995982771739357
9.138832 7.411018e-05 1.106946818204399 1.0019528332356344
9.109026 7.39866e-05 1.105100965343244 1.0002820596505309
9.079152 7.444103e-05 1.1118885597411612 1.006425850233785
9.049048 7.440592e-05 1.1113641391718527 1.0059511709930262
9.018711999999999 7.417012e-05 1.1078421121071147 1.0027632084475706
8.989096 7.341757e-05 1.0966016478680625 0.9925889030464574
8.958960999999999 7.461905e-05 1.1145475557465243 1.0088326402776442
8.929039000000001 7.466379e-05 1.1152158148257287 1.0094375149353358
8.898768 7.500362e-05 1.1202916861463812 1.0140319394977706
8.868544 7.452144e-05 1.1130896038305402 1.0075129752052867
8.838683999999999 7.385262e-05 1.1030997728660024 0.9984706804230494
8.808609 7.400103e-05 1.1053164990605644 1.0004771499793303
8.778868000000001 7.406025e-05 1.1062010386821666 1.0012777909544868
8.748766999999999 7.395855e-05 1.104681996474856 0.9999028300093094
8.718916 7.474867e-05 1.116483625077022 1.0105850732935133
8.689063 7.374778e-05 1.1015338300438349 0.9970532673896926
8.659147 7.448926e-05 1.1126089472107636 1.007077908900313
8.628896000000001 7.424594e-05 1.108974597654394 1.0037882776595999
8.598633 7.349809e-05 1.0978043349726117 0.9936775151930226
8.568905 7.471928e-05 1.1160446412965612 1.0101877271560624
8.538960999999999 7.336581e-05 1.0958285345479997 0.9918891195801607
8.508767 7.413876e-05 1.1073737034186069 1.0023392283567079
8.478776 7.37533e-05 1.1016162795323734 0.9971278965383396
8.448859 7.445864e-05 1.1121515915334004 1.0066639334416962
8.418758 7.424869e-05 1.1090156730336478 1.0038254570361902
8.388803 7.423178e-05 1.108763096792491 1.0035968376695927
8.35861 7.360287e-05 1.0993693816046866 0.9950941170399812
8.328841 7.449456e-05 1.112688110668962 1.0071495636988326
8.298821 7.456369e-05 1.113720671020893 1.0080841856274474
8.268619000000001 7.521849e-05 1.1235010922337445 1.0169369331879403
8.238646000000001 7.433071e-05 1.110240764890517 1.0049343488427136
8.208749 7.501926e-05 1.1205252930305731 1.0142433887522697
8.178435 7.396417e-05 1.104765939613549 0.9999788111352866
8.148925 7.422927e-05 1.1087256061736086 1.0035629030385957
8.118526 7.331236e-05 1.0950301785403227 0.9911664876969776
8.088735999999999 7.462881e-05 1.1146933360016211 1.0089645932651066
8.058841000000001 7.469891e-05 1.1157403847600527 1.0099123293738277
8.028618999999999 7.435554e-05 1.1106116382239244 1.0052700448138912
7.998488999999999 7.441469e-05 1.111495132290418 1.006069739404916
7.968174 7.407173e-05 1.106372509719924 1.0014329979520347
7.938482 7.499412e-05 1.1201497893816865 1.0139035016513676
7.9086099999999995 7.489682e-05 1.1186964677811817 1.0125880277087347
7.878434 7.345726e-05 1.0971944776144555 0.993125502848956
7.848435 7.382273e-05 1.1026533208347682 0.9980665743989457
7.818443 7.279984e-05 1.0873749227675513 0.9842373334824023
7.7880910000000005 7.354008e-05 1.0984315186725622 0.9942452104741238
7.758539 7.52639e-05 1.124179358768985 1.0175508660937467
7.728573 7.35671e-05 1.0988351029443573 0.9946105147488408
7.698832 7.504314e-05 1.120881976687511 1.014566240938807
7.668295 7.394395e-05 1.1044639235522726 0.999705441319048
7.638095 7.294653e-05 1.089565958179453 0.9862205490285977
7.608397 7.400679e-05 1.1054025333094741 1.0005550238735705
7.578246 7.477101e-05 1.1168173065215776 1.01088710502916
7.5484610000000005 7.438815e-05 1.1110987175393658 1.005710924621386
7.518508 7.473019e-05 1.1162075985284368 1.0103352278828261
7.488434 7.393223e-05 1.104288867754144 0.9995469895759066
7.458482 7.35454e-05 1.0985109808607914 0.9943171356681095
7.428517 7.424976e-05 1.1090316550903025 1.0038399231936268
7.398680000000001 7.560876e-05 1.1293303606924183 1.0222132951159086
7.3685730000000005 7.435833e-05 1.11065331106324 1.0053077649814137
7.338248999999999 7.444576e-05 1.1119592093934776 1.0064897987615204
7.308444000000001 7.407676e-05 1.1064476403227046 1.0015010024117619
7.278506999999999 7.365588e-05 1.100161165551683 0.9958108002229099
7.248396 7.481279e-05 1.1174413535562033 1.011451961157867
7.218508 7.441737e-05 1.1115351621145637 1.006105972397375
7.1883040000000005 7.442127e-05 1.1115934144705961 1.0061586995132668
7.158036 7.364429e-05 1.0999880514987552 0.9956541060502981
7.128026 7.397063e-05 1.1048624294135416 1.0000661488708409
7.098293 7.430274e-05 1.1098229909422528 1.0045562007833566
7.068536 7.443644e-05 1.111820001199061 1.0063637944743122
7.038017 7.445666e-05 1.1121220172603379 1.0066371642905514
7.00818 7.453373e-05 1.1132731734345505 1.007679133219212
6.978443 7.371131e-05 1.1009890958324227 0.9965602012572381
6.948627999999999 7.438763e-05 1.1110909505585613 1.005703894339267
6.918452 7.463861e-05 1.11483971371678 1.0090970870435014
6.888184 7.51593e-05 1.1226170007071887 1.0161366978059831
6.858128 7.442784e-05 1.111691547285759 1.0062475244238847
6.827934 7.336958e-05 1.095884845158831 0.9919400891255227
6.798184 7.391196e-05 1.1039861048677904 0.9992729437710026
6.768171000000001 7.48365e-05 1.1177954980078781 1.0117725149829422
6.738118999999999 7.37717e-05 1.1018911111608345 0.9973766603671621
6.70802 7.448837e-05 1.112595653724387 1.007065876302071
6.678229999999999 7.377222e-05 1.1018988781416388 0.9973836906492809
6.648045 7.454136e-05 1.1133871389413528 1.0077822890895338
6.618119 7.424307e-05 1.1089317298949546 1.0037494759102128
6.587925 7.387115e-05 1.1033765462396647 0.9987212018224018
6.557785 7.484525e-05 1.1179261923964128 1.011890812999366
6.5276000000000005 7.416287e-05 1.1077338224709004 1.0026651900911052
6.497765 7.418598e-05 1.108079005021647 1.002977632052197
6.4679709999999995 7.418558e-05 1.1080730304210284 1.002972224142875
6.437859 7.431181e-05 1.1099584650112824 1.0046788251272383
