Keff(MJ/m3):0.10653344601058885 Ms(MA/m):1.2783519154045255
H(kOe) moment(emu) M(MA/m) M_norm()
9.958294 7.515666e-05 1.1140050799616075 0.9998237991653709
9.920506999999999 7.544058e-05 1.1182134671132278 1.0036008426510583
9.88185 7.49656e-05 1.1111731045840765 0.9972820904855474
9.843252 7.565728e-05 1.1214254898511689 1.0064836452833088
9.804696 7.489543e-05 1.1101330139725338 0.9963486052031062
9.765803 7.551931e-05 1.1193804378107732 1.0046482032935922
9.726771000000001 7.572443e-05 1.1224208166940517 1.007376954913007
9.687173000000001 7.546157e-05 1.1185245901278533 1.003880076740818
9.647637000000001 7.517236e-05 1.1142377922688789 1.0000326593468492
9.608356 7.526287e-05 1.1155793713090771 1.0012367316414728
9.568867000000001 7.509887e-05 1.11314849115669 0.9990550074527832
9.529205 7.502763e-05 1.112092540534397 0.9981072877503305
9.489608 7.499267e-05 1.11157434803362 0.9976422080086439
9.449753000000001 7.5437e-05 1.1181604027781942 1.003553217208403
9.410309 7.547863e-05 1.1187774609534615 1.004107029269227
9.370127 7.522509e-05 1.1150193795276309 1.0007341368862979
9.330403 7.557865e-05 1.1202600013976187 1.0054376149604023
9.290516 7.535442e-05 1.1169363656868274 1.00245463926022
9.250696 7.499629e-05 1.111628005266252 0.9976903655791505
9.210792999999999 7.499947e-05 1.1116751406253043 0.9977326697432969
9.170377 7.494129e-05 1.1108127710688052 0.9969586897841631
9.130922 7.503318e-05 1.1121748050761395 0.9981811204896429
9.091026 7.531062e-05 1.1162871428168606 1.0018719592634846
9.051081 7.567414e-05 1.121675396188786 1.006707937172463
9.010922 7.550135e-05 1.1191142267892071 1.0044092778885383
8.970877 7.527885e-05 1.1158162338995354 1.0014493167179073
8.930771 7.525114e-05 1.1154055040884217 1.0010806851491965
8.890715 7.481666e-05 1.1089654503773905 0.9953007124327218
8.850794 7.470738e-05 1.1073456541392632 0.9938469391440632
8.81061 7.491202e-05 1.110378918251364 0.9965693052292671
8.770877 7.524065e-05 1.1152500166933086 1.0009411346202979
8.730998 7.541739e-05 1.1178697347307045 1.0032923415294992
8.691174 7.5566e-05 1.1200724975322058 1.005269329527555
8.650895 7.560605e-05 1.1206661362523467 1.0058021225382685
8.610923000000001 7.515334e-05 1.1139558694609617 0.9997796325537462
8.570694999999999 7.51297e-05 1.113605466980459 0.9994651449938643
8.530867 7.492206e-05 1.1105277355484977 0.996702869319843
8.49078 7.491713e-05 1.1104546609195265 0.9966372845622194
8.450813 7.501832e-05 1.1119545436184293 0.9979834349930335
8.410904 7.538028e-05 1.1173196739840272 1.002798659915827
8.37085 7.547365e-05 1.118703645202493 1.00404077935179
8.330997 7.556607e-05 1.1200735351030027 1.0052702607512942
8.290719999999999 7.5446e-05 1.1182938047377762 1.0036729459748552
8.250526 7.528369e-05 1.1158879745089105 1.0015137041878661
8.211073 7.485809e-05 1.1095795440646672 0.9958518638542913
8.171035 7.510096e-05 1.113179470056193 0.9990828111329927
8.130763 7.518823e-05 1.1144730243909422 1.0002437810716938
8.090655 7.527159e-05 1.1157086229854725 1.001352735512969
8.050603 7.518877e-05 1.1144810285085172 1.000250964797681
8.010563 7.545052e-05 1.1183608021663667 1.0037330764220072
7.970422999999999 7.550082e-05 1.1191063708960316 1.0044022271945137
7.930544 7.519025e-05 1.1145029657196481 1.000270653528164
7.890451 7.515368e-05 1.1139609090905458 0.9997841556404787
7.85046 7.482385e-05 1.1090720237206568 0.995396362413921
7.8103 7.49457e-05 1.1108781380290005 0.9970173568797248
7.7702290000000005 7.541471e-05 1.117830010591629 1.003256688963489
7.730394 7.539854e-05 1.1175903317375795 1.0030415762797626
7.6903500000000005 7.550307e-05 1.119139721385927 1.0044321593861267
7.650423 7.541917e-05 1.1178961186738219 1.0033160212188643
7.610451 7.527148e-05 1.1157069925170775 1.001351272161379
7.570294 7.513852e-05 1.1137362009008496 0.9995824791849877
7.529904 7.469601e-05 1.1071771229969911 0.9936956818024449
7.490385 7.468561e-05 1.1070229696214737 0.9935573285612108
7.450611 7.484421e-05 1.1093738085981115 0.995667215490029
7.410706 7.522036e-05 1.1149492693866505 1.000671212767929
7.3705810000000005 7.53752e-05 1.117244375989063 1.0027310796787625
7.330108 7.562357e-05 1.1209258254003336 1.0060351945369628
7.290281 7.520599e-05 1.1147362709245177 1.0004800458374932
7.25046 7.499139e-05 1.1115553753104794 0.9976251799174153
7.210394 7.504972e-05 1.1124199682329716 0.9984011553559899
7.169951 7.485603e-05 1.109549009838363 0.99582445926997
7.130158000000001 7.50801e-05 1.1128702739587615 0.9988053064587485
7.090072 7.527869e-05 1.1158138623091427 1.0014471882065037
7.050215000000001 7.523019e-05 1.1150949739713942 1.0008019831872876
7.0100810000000005 7.556243e-05 1.1200195814215714 1.0052218371168622
6.970055 7.53729e-05 1.1172102843771696 1.0027004823273358
6.930470000000001 7.501215e-05 1.1118630891639159 0.9979013542720323
6.89034 7.466466e-05 1.1067124395044463 0.993278626599302
6.849989 7.481913e-05 1.1090020618040757 0.9953335713275148
6.8100439999999995 7.476014e-05 1.1081276860712141 0.9945488157794002
6.7700640000000005 7.506095e-05 1.1125864242336505 0.9985505502501302
6.729942 7.536043e-05 1.1170254485509485 1.0025345914698178
6.689970000000001 7.535415e-05 1.11693236362804 1.0024510473972263
6.650158 7.516152e-05 1.114077117019782 0.9998884526992553
6.610093 7.523848e-05 1.1152178519986096 1.0009122666843868
6.56972 7.501519e-05 1.1119081493813747 0.9979417959887007
6.529592 7.473346e-05 1.1077322233732525 0.9941938865028498
6.489866 7.474654e-05 1.1079261008878456 0.9943678923100943
6.449738 7.508881e-05 1.1129993774107572 0.9989211772982819
6.409517 7.532387e-05 1.1164835401462456 1.0020482266140953
6.369489 7.509462e-05 1.1130854957868872 0.998998468868625
6.329725000000001 7.526783e-05 1.115652890611247 1.0013027154949845
6.289701 7.529054e-05 1.1159895082225928 1.001604831082333
6.2498190000000005 7.505194e-05 1.1124528740496686 0.9984306884517149
6.209618000000001 7.467774e-05 1.1069063170190392 0.9934526324065464
6.169885 7.453232e-05 1.1047508378009898 0.9915180816045999
6.129932 7.495224e-05 1.1109750767862967 0.9971043597833469
6.089803 7.499836e-05 1.1116586877169559 0.9977179031954345
6.0498 7.523507e-05 1.1151673074783677 1.0008669027850974
6.010026 7.543226e-05 1.1180901444128142 1.0034901600580712
5.96985 7.533604e-05 1.1166639292404805 1.0022101265127314
