Keff(MJ/m3):0.10653344601058885 Ms(MA/m):1.1142014031787926
H(kOe) moment(emu) M(MA/m) M_norm()
9.973771000000001 6.604109e-05 1.1231057681515317 1.0079917014530184
9.950438 6.573064e-05 1.1178262037814912 1.0032532723369016
9.926484 6.576409e-05 1.1183950600487735 1.0037638230018529
9.902715 6.634492e-05 1.1282727516997662 1.012629088853082
9.8787 6.585977e-05 1.1200222100533652 1.0052241963239015
9.854725 6.547537e-05 1.1134850396753864 0.9993570610292156
9.830483000000001 6.600825e-05 1.122547285645775 1.0074904612785192
9.805938 6.589573e-05 1.120633751798402 1.005773057367598
9.78153 6.551504e-05 1.1141596742979005 0.9999625481705793
9.757188 6.600002e-05 1.1224073248960074 1.0073648459729125
9.732474 6.593885e-05 1.1213670576951202 1.0064312022008626
9.707812 6.576405e-05 1.118394379802116 1.0037632124778888
9.682882 6.578708e-05 1.1187860318151361 1.0041147216502004
9.658021000000002 6.609846e-05 1.124081411919962 1.0088673454484818
9.633417 6.566034e-05 1.1166306702810438 1.0021802764700534
9.608808000000002 6.553521e-05 1.1145026886749136 1.0002704048794602
9.583929 6.608873e-05 1.1239159419205405 1.0087188354942227
9.558984 6.587754e-05 1.1203244096309322 1.0054954215949385
9.534087 6.557342e-05 1.115152494294431 1.0008536078961354
9.509012 6.591195e-05 1.120909591817993 1.0060206248350272
9.484200999999999 6.607614e-05 1.1237018342851117 1.0085266730765323
9.459280000000001 6.56129e-05 1.1158238977453225 1.0014561950486698
9.434188 6.570194e-05 1.1173381268047793 1.0028152213926833
9.40915 6.591275e-05 1.120923196751142 1.0060328353143086
9.384179 6.561328e-05 1.1158303600885682 1.0014619950263284
9.359058000000001 6.580109e-05 1.1190242882069037 1.004328557668615
9.334095999999999 6.598516e-05 1.1221546132627689 1.0071380363202613
9.309391999999999 6.586604e-05 1.1201288387169186 1.0053198959552692
9.284465 6.559948e-05 1.115595674991752 1.0012513642587253
9.259354 6.584782e-05 1.1198189863644556 1.0050418022896366
9.23416 6.589732e-05 1.1206607916030353 1.0057973256951698
9.209095999999999 6.543037e-05 1.1127197621857685 0.99867022156964
9.184332 6.576876e-05 1.1184744788460292 1.0038351016746576
9.159465 6.593186e-05 1.1212481845917328 1.0063245131381418
9.134345999999999 6.549027e-05 1.113738431555282 0.9995844812058307
9.109242 6.562157e-05 1.1159713412083219 1.0015885261178812
9.084391 6.59517e-05 1.1215855869338223 1.0066273330243192
9.058992 6.569849e-05 1.1172794555305754 1.0027625637007826
9.03419 6.560971e-05 1.1157696480743917 1.0014075057625353
9.009111 6.593201e-05 1.1212507355166983 1.006326802603007
8.983964 6.581141e-05 1.1191997918445227 1.0044860728513443
8.959206 6.55638e-05 1.114988894973317 1.000706776882777
8.934289000000001 6.570116e-05 1.1173248619949594 1.002803316175384
8.908993 6.585143e-05 1.1198803786252896 1.0050969020773937
8.884021 6.560051e-05 1.115613191343181 1.0012670852508
8.859206 6.584851e-05 1.1198307206192966 1.0050523338280166
8.834391 6.604396e-05 1.123154575849203 1.0080355065474402
8.809216000000001 6.558751e-05 1.1153921111795138 1.001068664962478
8.784141 6.559159e-05 1.1154614963385723 1.0011309384068128
8.759058999999999 6.582245e-05 1.1193875399219755 1.0046545774654267
8.734131999999999 6.575993e-05 1.1183243143964001 1.0037003285095898
8.709304 6.557023e-05 1.1150982446235005 1.000804918610001
8.684159 6.584357e-05 1.1197467101571028 1.0049769341184542
8.659285 6.580709e-05 1.1191263252055195 1.004420136263225
8.634511 6.564429e-05 1.1163577213097469 1.0019353037294716
8.609364 6.576352e-05 1.118385366533905 1.0037551230353647
8.584178 6.571735e-05 1.1176001918295575 1.0030504257498403
8.55903 6.561879e-05 1.11592406406563 1.0015460947023787
8.5339 6.564101e-05 1.1163019410838368 1.0018852407644179
8.509295 6.577367e-05 1.11855797912323 1.003910043491247
8.484316999999999 6.560067e-05 1.1156159123298108 1.001269527346656
8.459233 6.562322e-05 1.1159994013829413 1.001613710231399
8.433603999999999 6.58676e-05 1.1201553683365586 1.0053437063898678
8.408813 6.572931e-05 1.1178035855801314 1.0032329724150963
8.384058999999999 6.55456e-05 1.114679382744183 1.0004289884791266
8.359122 6.584182e-05 1.11971694936584 1.0049502236950265
8.334178 6.569181e-05 1.117165854338783 1.0026606061987833
8.308965 6.554009e-05 1.114585678767121 1.0003448888030764
8.284059 6.570315e-05 1.1173587042661668 1.0028336897425965
8.259206 6.58019e-05 1.1190380632017167 1.0043409207788874
8.234084999999999 6.554536e-05 1.1146753012642383 1.0004253253353421
8.209112999999999 6.552584e-05 1.1143433408954087 1.0001273896408773
